number,value,datetime_start,datetime_complete,duration,params_balancing,params_drop_correlated,params_feature_selection,params_learning_rate,params_n_estimators,params_number_features,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.09837505489679403,2022-10-09 16:21:38.634811,2022-10-09 16:22:00.736580,0 days 00:00:22.101769,smotetomek,no,Lasso,0.2269400239799676,100,22.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='Lasso',
                                             model=AdaBoostClassifier(learning_rate=0.2269400239799676,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=22))])",smotetomek,no,,no,Lasso,no,22.0,retained,no,0.3620453660666881,0.9026240802113032,0.55461233729485,0.5691583002662995,0.40909444153018204,0.862280701754386,0.05536732547195925,0.5505760070983186,0.09837505489679403,0.05341564352136286,0.06481481481481481,0.2074074074074074,COMPLETE
1,0.09301454856653829,2022-10-09 16:22:00.955538,2022-10-09 16:22:02.456471,0 days 00:00:01.500933,smoteenc,no,ANOVA,0.05036148301698937,100,22.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.05036148301698937,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=22))])",smoteenc,no,,no,ANOVA,no,22.0,retained,no,0.1444571557113871,0.7389505231947721,0.31794871794871793,0.3091493100026604,0.22174185976691504,0.5692982456140351,0.04815283687352065,0.5268634304964435,0.09301454856653829,0.034846011424033894,0.06354771922794362,0.17407407407407405,COMPLETE
2,0.11164267715991855,2022-10-09 16:22:02.653858,2022-10-09 16:22:15.495663,0 days 00:00:12.841805,smoteenc,,FeatureWiz,0.01359126153661051,100,,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=AdaBoostClassifier(learning_rate=0.01359126153661051,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",smoteenc,no,,no,FeatureWiz,no,,retained,no,0.138231713619643,0.7238506342435787,0.31128076399117616,0.2982884274210141,0.22411590695172787,0.5359649122807016,0.050534873972841086,0.544301600534324,0.11164267715991855,0.05772966148100985,0.07707231040564373,0.2074074074074074,COMPLETE
3,0.07796101949025487,2022-10-09 16:22:15.690312,2022-10-09 16:22:17.599219,0 days 00:00:01.908907,smotetomek,no,FeatureImportance_ET,0.646571763682431,100,9.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=AdaBoostClassifier(learning_rate=0.646571763682431,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=9))])",smotetomek,no,,no,FeatureImportance_ET,no,9.0,retained,no,0.1406847372134901,0.7170070417712874,0.2862098427887902,0.2743290755324981,0.2027097313175412,0.5675438596491228,0.04896300448430493,0.5233908121626958,0.07796101949025487,0.020637836689998627,0.048611111111111105,0.19999999999999998,COMPLETE
4,0.0,2022-10-09 16:22:17.789618,2022-10-09 16:22:22.222925,0 days 00:00:04.433307,no,yes,MutualInformation,0.506434091319166,100,8.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=AdaBoostClassifier(learning_rate=0.506434091319166,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=8))])",no,no,,yes,MutualInformation,no,8.0,retained,no,0.9345684839902447,0.9657894736842105,0.9639376218323586,0.9633873241415077,1.0,0.9315789473684211,0.04334828101644245,0.4914074269082825,0.0,-0.02743363897479478,0.0,0.0,COMPLETE
5,0.06637806637806637,2022-10-09 16:22:22.442180,2022-10-09 16:22:34.211403,0 days 00:00:11.769223,smoteenn,,FeatureWiz,0.03333504335977492,100,,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=AdaBoostClassifier(learning_rate=0.03333504335977492,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",smoteenn,no,,no,FeatureWiz,no,,retained,no,0.20325453499730525,0.8091632722227334,0.379602353621136,0.38988578777390764,0.26419169066227893,0.7245614035087719,0.04387565294345607,0.5013099712849615,0.06637806637806637,0.0013585417470986783,0.04391339869281046,0.13703703703703704,COMPLETE
6,0.09174603174603176,2022-10-09 16:22:34.462413,2022-10-09 16:22:38.999005,0 days 00:00:04.536592,smotetomek,yes,ANOVA,0.31351008000289554,100,3.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.31351008000289554,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=3))])",smotetomek,no,,yes,ANOVA,no,3.0,retained,no,0.10098051235522576,0.6720338423986542,0.23788527756781722,0.21797194776835202,0.17259918427882834,0.46666666666666673,0.046738636992747606,0.5249750145037759,0.09174603174603176,0.035099951610814854,0.06666666666666667,0.17037037037037037,COMPLETE
7,0.08043394777265746,2022-10-09 16:22:39.195851,2022-10-09 16:22:40.460978,0 days 00:00:01.265127,smotetomek,no,ANOVA,0.399038307355477,100,13.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=AdaBoostClassifier(learning_rate=0.399038307355477,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=13))])",smotetomek,no,,no,ANOVA,no,13.0,retained,no,0.2575551473618541,0.8146666211437931,0.45579855873973524,0.45502430795496257,0.34836496431140374,0.6894736842105263,0.04616966657325402,0.519597404433524,0.08043394777265746,0.024266623947931578,0.05666555666555667,0.14074074074074072,COMPLETE
8,0.1390989962418534,2022-10-09 16:22:40.658571,2022-10-09 16:22:42.551529,0 days 00:00:01.892958,smotetomek,no,FeatureImportance_ET,0.06596309686972748,100,12.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=AdaBoostClassifier(learning_rate=0.06596309686972748,
                                                                      n_estimators=100,
                                                                      random_state=120),
                                             number=12))])",smotetomek,no,,no,FeatureImportance_ET,no,12.0,retained,no,0.10389610773248344,0.6851246921660343,0.2409353614863667,0.2230442882449893,0.16127260981912142,0.4991228070175438,0.05904265442304718,0.5732379740540857,0.1390989962418534,0.09105623861774231,0.0932434423813734,0.27777777777777773,COMPLETE
9,0.0,2022-10-09 16:22:42.786243,2022-10-09 16:23:10.700541,0 days 00:00:27.914298,smoteenn,no,BorutaShap,0.10634806958417438,100,,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='BorutaShap',
                                             model=AdaBoostClassifier(learning_rate=0.10634806958417438,
                                                                      n_estimators=100,
                                                                      random_state=120)))])",smoteenn,no,,no,BorutaShap,no,,retained,no,0.6074756784434204,0.9851586751840734,0.754567901234568,0.7671704259045765,0.6074756784434204,1.0,0.04334828101644245,0.4765587293229783,0.0,-0.04612009290045437,0.0,0.0,COMPLETE
