number,value,datetime_start,datetime_complete,duration,params_auto_class_weights,params_balancing,params_boosting_type,params_drop_correlated,params_feature_selection,params_iterations,params_l2_leaf_reg,params_learning_rate,params_loss_function,params_max_depth,params_missing,params_nan_mode,params_number_features,params_random_strength,params_task_type,params_verbose,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.0,2022-10-09 20:33:02.276375,2022-10-09 20:33:07.052710,0 days 00:00:04.776335,SqrtBalanced,,Plain,,,100,6,0.28466727514410084,Logloss,8,yes,Min,7.0,1.7677116470878762,GPU,False,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_self',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8ADD8A650>,
                                             number=7))])",no,no,,no,FeatureImportance_self,yes,7.0,retained,no,1.0,1.0,1.0,1.0,1.0,1.0,0.04334828101644245,0.4945373173621166,0.0,-0.020956739274052946,0.0,0.0,COMPLETE
1,0.0392156862745098,2022-10-09 20:33:07.241799,2022-10-09 20:33:08.832306,0 days 00:00:01.590507,SqrtBalanced,,Plain,,,100,2,0.07578658983709374,Logloss,5,yes,Min,3.0,1.9672973771441031,GPU,False,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_self',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8ADD8AFE0>,
                                             number=3))])",no,no,,no,FeatureImportance_self,yes,3.0,retained,no,0.7444661388489568,0.9364449278356362,0.8576193454242235,0.8520035180279594,0.8382775119617225,0.8807017543859649,0.046483142335160266,0.4989822980806264,0.0392156862745098,-0.0019271501993487529,0.041666666666666664,0.037037037037037035,COMPLETE
2,0.0,2022-10-09 20:33:09.017761,2022-10-09 20:33:10.333898,0 days 00:00:01.316137,None,,Plain,,,100,3,0.07841496619531045,Logloss,4,yes,Min,8.0,1.025781391677025,GPU,False,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_self',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8ADD8BBE0>,
                                             number=8))])",no,no,,no,FeatureImportance_self,yes,8.0,retained,no,0.358972543466289,0.6649122807017543,0.4881291547958215,0.5594513583247017,1.0,0.32982456140350874,0.04334828101644245,0.4984350547730829,0.0,-0.006870807871857401,0.0,0.0,COMPLETE
3,0.0781519044399369,2022-10-09 20:33:10.527763,2022-10-09 20:33:28.764531,0 days 00:00:18.236768,Balanced,smoteenn,Plain,yes,MutualInformation,100,10,0.014400123048822207,Logloss,5,no,Min,14.0,2.6333400054169895,GPU,False,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE015570>,
                                             number=14))])",smoteenn,no,,yes,MutualInformation,no,14.0,retained,no,0.13845758629250696,0.798252625714984,0.27304991678784574,0.3026801740113056,0.16598408350341962,0.7754385964912279,0.045355402571933295,0.5141625105426606,0.0781519044399369,0.014512273694333383,0.0493561151901919,0.24074074074074073,COMPLETE
4,0.07438773461808691,2022-10-09 20:33:28.957461,2022-10-09 20:33:47.353069,0 days 00:00:18.395608,SqrtBalanced,smoteenn,Plain,yes,MutualInformation,100,9,0.0108017062304733,Logloss,6,no,Min,6.0,0.435348273075623,GPU,False,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE016890>,
                                             number=6))])",smoteenn,no,,yes,MutualInformation,no,6.0,retained,no,0.10217831865611104,0.7531516102655623,0.20869441221651122,0.23243965624012639,0.12118147883194381,0.7578947368421053,0.045894328035864906,0.5032554273373018,0.07438773461808691,0.0037535594741614172,0.044703305455993624,0.24074074074074073,COMPLETE
5,0.0303030303030303,2022-10-09 20:33:47.557625,2022-10-09 20:33:49.417978,0 days 00:00:01.860353,SqrtBalanced,,Plain,,,100,2,0.26629298198440127,Logloss,6,yes,Min,7.0,0.36729938243607485,GPU,False,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_self',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE016020>,
                                             number=7))])",no,no,,no,FeatureImportance_self,yes,7.0,retained,no,1.0,1.0,1.0,1.0,1.0,1.0,0.04463129048330842,0.502600441694821,0.0303030303030303,-0.0024393377640934202,0.027777777777777776,0.03333333333333333,COMPLETE
6,0.04531490015360983,2022-10-09 20:33:49.620719,2022-10-09 20:34:01.930131,0 days 00:00:12.309412,None,smotetomek,Plain,no,ANOVA,100,7,0.042800133842380725,Logloss,4,no,Min,13.0,0.34057203270042313,GPU,False,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor10', 'Sensor11',
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE092800>,
                                             number=13))])",smotetomek,no,,no,ANOVA,no,13.0,retained,no,0.1787018591343498,0.72982347637739,0.37871512241260136,0.35910529764232296,0.3079333802486512,0.5166666666666667,0.04379789783377227,0.49425723604346744,0.04531490015360983,-0.010453838682499243,0.03439153439153439,0.06666666666666667,COMPLETE
7,0.0,2022-10-09 20:34:02.118262,2022-10-09 20:34:04.030984,0 days 00:00:01.912722,None,,Plain,,,100,3,0.014679436205005452,Logloss,6,yes,Min,8.0,7.4378228870614125,GPU,False,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_self',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE072B30>,
                                             number=8))])",no,no,,no,FeatureImportance_self,yes,8.0,retained,no,0.2749901659979545,0.6210526315789474,0.38705314009661834,0.4812036596956492,1.0,0.24210526315789474,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
8,0.11072039072039071,2022-10-09 20:34:04.212267,2022-10-09 20:34:22.176877,0 days 00:00:17.964610,SqrtBalanced,smoteenn,Plain,yes,MutualInformation,100,3,0.12625452891591107,Logloss,6,no,Min,17.0,3.9296366220306114,GPU,False,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE071450>,
                                             number=17))])",smoteenn,no,,yes,MutualInformation,no,17.0,retained,no,0.5952807646356034,0.984377118814893,0.7450742721330957,0.7588194227276025,0.5952807646356034,1.0,0.05110864425491173,0.5390778036164373,0.11072039072039071,0.058898784918084514,0.08488562091503267,0.17037037037037037,COMPLETE
9,0.0,2022-10-09 20:34:22.400790,2022-10-09 20:34:24.150496,0 days 00:00:01.749706,SqrtBalanced,,Plain,,,100,3,0.020094933318187923,Logloss,5,yes,Min,18.0,0.31858116764354055,GPU,False,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_self',
                                             model=<catboost.core.CatBoostClassifier object at 0x000001B8AE070880>,
                                             number=18))])",no,no,,no,FeatureImportance_self,yes,18.0,retained,no,0.9177720084965778,0.957017543859649,0.9549286128233497,0.9541175894073365,1.0,0.9140350877192982,0.04334828101644245,0.49609860617495216,0.0,-0.017677444151339605,0.0,0.0,COMPLETE
