number,value,datetime_start,datetime_complete,duration,params_balancing,params_ccp_alpha,params_class_weight,params_drop_correlated,params_feature_selection,params_number_features,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.08641975308641975,2022-10-09 15:05:18.735199,2022-10-09 15:05:40.528059,0 days 00:00:21.792860,no,0.002242152466367713,balanced,no,Lasso,16.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='Lasso',
                                             model=DecisionTreeClassifier(ccp_alpha=0.002242152466367713,
                                                                          class_weight='balanced',
                                                                          random_state=120),
                                             number=16))])",no,no,,no,Lasso,no,16.0,retained,no,0.9841269841269842,0.9996087636932707,0.991869918699187,0.9915846591137352,0.9841269841269842,1.0,0.05126109542527082,0.5302880279252532,0.08641975308641975,0.04741190951524065,0.0787037037037037,0.1074074074074074,COMPLETE
1,0.028985507246376812,2022-10-09 15:05:40.773913,2022-10-09 15:05:54.387380,0 days 00:00:13.613467,smotetomek,0.002242152466367713,balanced,,FeatureWiz,,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=DecisionTreeClassifier(ccp_alpha=0.002242152466367713,
                                                                          class_weight='balanced',
                                                                          random_state=120)))])",smotetomek,no,,no,FeatureWiz,no,,retained,no,0.8533704090819976,0.9466342248679499,0.9200113004991053,0.9179470531945896,0.9497354497354497,0.8956140350877192,0.044417615269633205,0.4831080982259079,0.028985507246376812,-0.0238860148382405,0.025641025641025644,0.03333333333333333,COMPLETE
2,0.056763285024154585,2022-10-09 15:05:54.615541,2022-10-09 15:06:07.404492,0 days 00:00:12.788951,smoteenc,0.002242152466367713,balanced,,FeatureWiz,,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=DecisionTreeClassifier(ccp_alpha=0.002242152466367713,
                                                                          class_weight='balanced',
                                                                          random_state=120)))])",smoteenc,no,,no,FeatureWiz,no,,retained,no,0.8712028077168507,0.9558447511837395,0.9306306306306307,0.92775762473029,0.9481481481481481,0.9140350877192982,0.045303799339673774,0.4958587454112003,0.056763285024154585,0.0007563198970145582,0.04945054945054945,0.06666666666666667,COMPLETE
3,0.028985507246376812,2022-10-09 15:06:07.605606,2022-10-09 15:06:09.147540,0 days 00:00:01.541934,smoteenn,0.003659585299790387,None,no,FeatureImportance_ET,28.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=DecisionTreeClassifier(ccp_alpha=0.003659585299790387,
                                                                          random_state=120),
                                             number=28))])",smoteenn,no,,no,FeatureImportance_ET,no,28.0,retained,no,0.18813022515344704,0.7129755862372008,0.3997438105965238,0.37503260143097034,0.35900621118012427,0.46578947368421053,0.044417615269633205,0.48621239378117087,0.028985507246376812,-0.022431304004654665,0.025641025641025644,0.03333333333333333,COMPLETE
4,0.08984962406015039,2022-10-09 15:06:09.381760,2022-10-09 15:06:17.022427,0 days 00:00:07.640667,smoteenc,0.00245258868129534,balanced,yes,MutualInformation,24.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeClassifier(ccp_alpha=0.00245258868129534,
                                                                          class_weight='balanced',
                                                                          random_state=120),
                                             number=24))])",smoteenc,no,,yes,MutualInformation,no,24.0,retained,no,0.5588447034757232,0.8807372323288788,0.7365079365079366,0.725656124742819,0.7027260179434093,0.7763157894736842,0.04760098794005926,0.5208973815199958,0.08984962406015039,0.03649574619723145,0.07445639187574671,0.13703703703703704,COMPLETE
5,0.04938271604938272,2022-10-09 15:06:17.209925,2022-10-09 15:06:45.432282,0 days 00:00:28.222357,smotetomek,0.0014947683109118087,balanced,yes,BorutaShap,,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=DecisionTreeClassifier(ccp_alpha=0.0014947683109118087,
                                                                          class_weight='balanced',
                                                                          random_state=120)))])",smotetomek,no,,yes,BorutaShap,no,,retained,no,0.91707079239283,0.9649605571305312,0.95539061328535,0.9540872583260475,0.9824561403508771,0.9307017543859649,0.04820188164952079,0.5005279861933803,0.04938271604938272,-0.0017716876285568163,0.0392156862745098,0.06666666666666667,COMPLETE
6,0.13468013468013465,2022-10-09 15:06:45.623185,2022-10-09 15:06:51.903950,0 days 00:00:06.280765,no,0.003659585299790387,balanced,yes,Lasso,3.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=DecisionTreeClassifier(ccp_alpha=0.003659585299790387,
                                                                          class_weight='balanced',
                                                                          random_state=120),
                                             number=3))])",no,no,,yes,Lasso,no,3.0,retained,no,0.7035588877663357,0.9743513906755652,0.8242468126189056,0.8273705862282207,0.7281510759771629,0.9666666666666667,0.06494122423370056,0.5508341499324781,0.13468013468013465,0.09603093980588999,0.12962962962962962,0.14074074074074075,COMPLETE
7,0.07196969696969696,2022-10-09 15:06:52.096438,2022-10-09 15:06:55.571258,0 days 00:00:03.474820,no,0.00245258868129534,balanced,yes,ANOVA,14.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=DecisionTreeClassifier(ccp_alpha=0.00245258868129534,
                                                                          class_weight='balanced',
                                                                          random_state=120),
                                             number=14))])",no,no,,yes,ANOVA,no,14.0,retained,no,0.7856187290969899,0.9937502977793904,0.8793650793650792,0.88053444398007,0.7856187290969899,1.0,0.048082977694012985,0.5193516934072416,0.07196969696969696,0.024325053339583718,0.056763285024154585,0.1074074074074074,COMPLETE
8,0.023809523809523808,2022-10-09 15:06:55.783097,2022-10-09 15:07:00.394634,0 days 00:00:04.611537,no,0.0014947683109118087,None,yes,MutualInformation,13.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=DecisionTreeClassifier(ccp_alpha=0.0014947683109118087,
                                                                          random_state=120),
                                             number=13))])",no,no,,yes,MutualInformation,no,13.0,retained,no,1.0,1.0,1.0,1.0,1.0,1.0,0.043802830444322066,0.4818081211394361,0.023809523809523808,-0.03150966495467373,0.017543859649122806,0.037037037037037035,COMPLETE
9,0.11832536578299291,2022-10-09 15:07:00.579736,2022-10-09 15:07:05.106898,0 days 00:00:04.527162,smoteenn,0.0014947683109118087,None,no,MutualInformation,20.0,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='MutualInformation',
                                             model=DecisionTreeClassifier(ccp_alpha=0.0014947683109118087,
                                                                          random_state=120),
                                             number=20))])",smoteenn,no,,no,MutualInformation,no,20.0,retained,no,0.4458630683639054,0.9495106532204444,0.6256613756613757,0.6462159880015919,0.4671066415252462,0.9482456140350877,0.052859360055896316,0.5485583978081016,0.11832536578299291,0.06405229095435949,0.08114942528735632,0.24074074074074073,COMPLETE
