number,value,datetime_start,datetime_complete,duration,params_balancing,params_ccp_alpha,params_drop_correlated,params_feature_selection,params_learning_rate,params_loss,params_max_features,params_n_estimators,params_number_features,params_subsample,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.0,2022-10-09 16:48:10.875962,2022-10-09 16:48:27.021721,0 days 00:00:16.145759,no,0.00357610520121136,no,Lasso,0.024408312862262804,log_loss,sqrt,100,16.0,0.5235558126988281,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.00357610520121136,
                                                                              learning_rate=0.024408312862262804,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5235558126988281),
                                             number=16))])",no,no,,no,Lasso,no,16.0,retained,no,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
1,0.05555555555555556,2022-10-09 16:48:27.213758,2022-10-09 16:48:39.157993,0 days 00:00:11.944235,smotetomek,0.00357610520121136,,FeatureWiz,0.01623354641222246,exponential,sqrt,100,,0.5385725967196896,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.00357610520121136,
                                                                              learning_rate=0.01623354641222246,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5385725967196896)))])",smotetomek,no,,no,FeatureWiz,no,,retained,no,0.7973014421404544,0.9459510538448793,0.8891741548994437,0.8854162752833535,0.8857877015771752,0.8973684210526316,0.058520179372197306,0.5057266757345736,0.05555555555555556,0.045688563070959164,0.16666666666666666,0.03333333333333333,COMPLETE
2,0.06073153899240855,2022-10-09 16:48:39.365722,2022-10-09 16:48:50.464318,0 days 00:00:11.098596,smoteenc,0.00357610520121136,,FeatureWiz,0.15353098340033663,log_loss,sqrt,100,,0.5079203131012645,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=GradientBoostingClassifier(ccp_alpha=0.00357610520121136,
                                                                              learning_rate=0.15353098340033663,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5079203131012645)))])",smoteenc,no,,no,FeatureWiz,no,,retained,no,0.7354199015357606,0.9201203048026438,0.8520017993702204,0.8458719925219844,0.8593567251461988,0.8464912280701755,0.04600926671180782,0.516446063017078,0.06073153899240855,0.025366782940746218,0.053418803418803416,0.07037037037037037,COMPLETE
3,0.0978917378917379,2022-10-09 16:48:50.650510,2022-10-09 16:48:52.180460,0 days 00:00:01.529950,smoteenn,0.0,no,FeatureImportance_ET,0.17262202511751337,exponential,sqrt,100,28.0,0.9760032319422911,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=GradientBoostingClassifier(learning_rate=0.17262202511751337,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.9760032319422911),
                                             number=28))])",smoteenn,no,,no,FeatureImportance_ET,no,28.0,retained,no,0.4773963277651028,0.9602405970672082,0.651802528921173,0.6719449793605436,0.49259259259259264,0.9657894736842105,0.04844839040370199,0.5302322066702744,0.0978917378917379,0.05035138973963104,0.08548850574712645,0.13703703703703704,COMPLETE
4,0.08888888888888889,2022-10-09 16:48:52.421175,2022-10-09 16:48:58.471568,0 days 00:00:06.050393,smoteenc,0.003609371792862248,yes,MutualInformation,0.2866204090463168,exponential,sqrt,100,24.0,0.6735178750941534,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=GradientBoostingClassifier(ccp_alpha=0.003609371792862248,
                                                                              learning_rate=0.2866204090463168,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.6735178750941534),
                                             number=24))])",smoteenc,no,,yes,MutualInformation,no,24.0,retained,no,0.6114897655376973,0.9154318828318391,0.7725467952353943,0.7646405426555405,0.7110781730346948,0.8464912280701755,0.051800365387809334,0.5475385020402791,0.08888888888888889,0.0529508341514529,0.061111111111111116,0.17777777777777778,COMPLETE
5,0.08465608465608465,2022-10-09 16:48:58.658943,2022-10-09 16:49:28.613065,0 days 00:00:29.954122,smotetomek,0.001993024414549078,yes,BorutaShap,0.018757385801119585,exponential,sqrt,100,,0.5504046759347682,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=GradientBoostingClassifier(ccp_alpha=0.001993024414549078,
                                                                              learning_rate=0.018757385801119585,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5504046759347682)))])",smotetomek,no,,yes,BorutaShap,no,,retained,no,0.7998294247645203,0.9543317473627114,0.8909735251198666,0.886974451988407,0.8709728867623605,0.9149122807017543,0.05280730406540072,0.5226948746825014,0.08465608465608465,0.05829462106647696,0.12037037037037036,0.07037037037037037,COMPLETE
6,0.0,2022-10-09 16:49:28.855516,2022-10-09 16:49:35.409162,0 days 00:00:06.553646,no,0.001993024414549078,yes,Lasso,0.1631828549600175,exponential,sqrt,100,3.0,0.5448322441663604,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=GradientBoostingClassifier(ccp_alpha=0.001993024414549078,
                                                                              learning_rate=0.1631828549600175,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.5448322441663604),
                                             number=3))])",no,no,,yes,Lasso,no,3.0,retained,no,0.3775234049248682,0.6745614035087719,0.4891774891774892,0.5568017733990177,1.0,0.34912280701754383,0.04334828101644245,0.4992175273865415,0.0,-0.00484744015742698,0.0,0.0,COMPLETE
7,0.05128205128205127,2022-10-09 16:49:35.599627,2022-10-09 16:49:39.401414,0 days 00:00:03.801787,no,0.003609371792862248,yes,ANOVA,0.15794813376862799,exponential,sqrt,100,14.0,0.7481605273465635,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=GradientBoostingClassifier(ccp_alpha=0.003609371792862248,
                                                                              learning_rate=0.15794813376862799,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.7481605273465635),
                                             number=14))])",no,no,,yes,ANOVA,no,14.0,retained,no,0.5694319880418536,0.775,0.704601571268238,0.7314083137229206,1.0,0.5499999999999999,0.051112771964789895,0.5161820699203877,0.05128205128205127,0.04798882952143671,0.08333333333333333,0.037037037037037035,COMPLETE
8,0.17777777777777778,2022-10-09 16:49:39.635281,2022-10-09 16:49:44.185316,0 days 00:00:04.550035,no,0.001993024414549078,yes,MutualInformation,0.11655160217535138,log_loss,sqrt,100,13.0,0.8499793282229706,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='MutualInformation',
                                             model=GradientBoostingClassifier(ccp_alpha=0.001993024414549078,
                                                                              learning_rate=0.11655160217535138,
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.8499793282229706),
                                             number=13))])",no,no,,yes,MutualInformation,no,13.0,retained,no,0.15829203052474233,0.5600877192982456,0.21119894598155467,0.3315467668504333,1.0,0.12017543859649121,0.14256767978741072,0.5518518518518518,0.17777777777777778,0.2554389482426545,0.6666666666666666,0.1037037037037037,COMPLETE
9,0.11641791044776119,2022-10-09 16:49:44.379354,2022-10-09 16:49:48.723988,0 days 00:00:04.344634,smoteenn,0.0014801376259762917,no,MutualInformation,0.032725251262399765,exponential,sqrt,100,20.0,0.860884736618393,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='MutualInformation',
                                             model=GradientBoostingClassifier(ccp_alpha=0.0014801376259762917,
                                                                              learning_rate=0.032725251262399765,
                                                                              loss='exponential',
                                                                              max_features='sqrt',
                                                                              random_state=120,
                                                                              subsample=0.860884736618393),
                                             number=20))])",smoteenn,no,,no,MutualInformation,no,20.0,retained,no,0.21179381919433138,0.8787711071336464,0.36688374940858876,0.41345044515874146,0.2323626622134085,0.8973684210526316,0.06766950348702143,0.6022772146900092,0.11641791044776119,0.08846253151398996,0.06845545235638115,0.38888888888888884,COMPLETE
