number,value,datetime_start,datetime_complete,duration,params_balancing,params_drop_correlated,params_feature_selection,params_leaf_size,params_n_jobs,params_n_neighbors,params_number_features,params_outlier,params_p,params_scaling,params_weights,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.11111111111111112,2022-10-09 14:12:44.080294,2022-10-09 14:12:56.193204,0 days 00:00:12.112910,no,no,ANOVA,45,2,3,22.0,capped,3,Robust,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=45,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=22,
                                             scaling_indicator='yes'))])",no,no,,no,ANOVA,no,22.0,capped,Robust,1.0,1.0,1.0,1.0,1.0,1.0,0.06937109007363117,0.5312801349460556,0.11111111111111112,0.12081539247013175,0.27777777777777773,0.07037037037037037,COMPLETE
1,0.11805555555555554,2022-10-09 14:12:56.421773,2022-10-09 14:13:02.223832,0 days 00:00:05.802059,smotetomek,yes,FeatureImportance_ET,15,2,9,21.0,capped,1,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=15,
                                                                        n_jobs=2,
                                                                        n_neighbors=9,
                                                                        p=1,
                                                                        weights='distance'),
                                             number=21,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,FeatureImportance_ET,no,21.0,capped,Combine,0.9545454545454546,0.9988290398126464,0.975609756097561,0.9753500105011156,0.9545454545454546,1.0,0.055608508747522205,0.5531498788508135,0.11805555555555554,0.06494818601811436,0.07878787878787878,0.27037037037037037,COMPLETE
2,0.06666666666666667,2022-10-09 14:13:02.417433,2022-10-09 14:13:15.390609,0 days 00:00:12.973176,no,,FeatureWiz,15,2,5,,capped,3,Combine,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor10', 'Sensor11',
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=15,
                                                                        n_jobs=2,
                                                                        p=3),
                                             scaling_indicator='yes'))])",no,no,,no,FeatureWiz,no,,capped,Combine,0.09198332153253087,0.5254385964912281,0.09393939393939395,0.17815979916631494,0.6666666666666666,0.05087719298245614,0.07889054974256766,0.5177360459050601,0.06666666666666667,0.10424330041466491,0.3333333333333333,0.037037037037037035,COMPLETE
3,0.0,2022-10-09 14:13:15.628733,2022-10-09 14:13:20.512585,0 days 00:00:04.883852,no,yes,ANOVA,30,2,3,29.0,capped,3,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=29,
                                             scaling_indicator='yes'))])",no,no,,yes,ANOVA,no,29.0,capped,Combine,1.0,1.0,1.0,1.0,1.0,1.0,0.04334828101644245,0.4984387111871646,0.0,-0.009435368499243929,0.0,0.0,COMPLETE
4,0.0,2022-10-09 14:13:20.727104,2022-10-09 14:13:23.243477,0 days 00:00:02.516373,no,no,ANOVA,25,2,11,16.0,capped,1,Standard,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=25,
                                                                        n_jobs=2,
                                                                        n_neighbors=11,
                                                                        p=1),
                                             number=16,
                                             scaling_indicator='yes'))])",no,no,,no,ANOVA,no,16.0,capped,Standard,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
5,0.08332996292551399,2022-10-09 14:13:23.436515,2022-10-09 14:13:25.911056,0 days 00:00:02.474541,smotetomek,no,ANOVA,18,2,3,20.0,capped,4,Standard,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=18,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=4,
                                                                        weights='distance'),
                                             number=20,
                                             scaling_indicator='yes'))])",smotetomek,no,,no,ANOVA,no,20.0,capped,Standard,0.9833333333333334,0.9996096799375488,0.9914529914529915,0.9911791515564418,0.9833333333333334,1.0,0.04972410649540695,0.5206063309591018,0.08332996292551399,0.021702432071934258,0.052443352443352444,0.20370370370370372,COMPLETE
6,0.09135802469135802,2022-10-09 14:13:26.114048,2022-10-09 14:13:31.908522,0 days 00:00:05.794474,smotetomek,yes,ANOVA,32,2,3,14.0,capped,3,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=32,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=14,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,ANOVA,no,14.0,capped,Combine,0.9682539682539683,0.9992193598750975,0.9833333333333334,0.9829865020098527,0.9682539682539683,1.0,0.048170320777372565,0.5320501757516368,0.09135802469135802,0.03883671744546157,0.06405228758169934,0.17037037037037037,COMPLETE
7,0.10214136779532919,2022-10-09 14:13:32.101512,2022-10-09 14:14:06.824344,0 days 00:00:34.722832,smoteenc,no,BorutaShap,13,2,7,,retained,3,Standard,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=13,
                                                                        n_jobs=2,
                                                                        n_neighbors=7,
                                                                        p=3),
                                             scaling_indicator='yes'))])",smoteenc,no,,no,BorutaShap,no,,retained,Standard,0.09979310578820454,0.7941556442480017,0.1813478038642573,0.24225615476316656,0.09979310578820454,1.0,0.05199688149988752,0.5780902793012836,0.10214136779532919,0.06315037532889196,0.05540799627295656,0.6592592592592592,COMPLETE
8,0.10132798562744035,2022-10-09 14:14:07.009653,2022-10-09 14:14:17.809787,0 days 00:00:10.800134,smotetomek,,FeatureWiz,20,2,11,,retained,2,Robust,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=20,
                                                                        n_jobs=2,
                                                                        n_neighbors=11),
                                             scaling_indicator='yes'))])",smotetomek,no,,no,FeatureWiz,no,,retained,Robust,0.07620297668013905,0.7228775297745633,0.14234552314400223,0.18295668399215215,0.07674981167912663,0.9824561403508771,0.05213220633861588,0.585167146875716,0.10132798562744035,0.07511355997074923,0.0540417643440238,0.8296296296296296,COMPLETE
9,0.0,2022-10-09 14:14:18.008308,2022-10-09 14:14:36.712691,0 days 00:00:18.704383,no,yes,BorutaShap,41,2,7,,capped,3,Combine,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=41,
                                                                        n_jobs=2,
                                                                        n_neighbors=7,
                                                                        p=3),
                                             scaling_indicator='yes'))])",no,no,,yes,BorutaShap,no,,capped,Combine,0.05926756352765322,0.5083333333333333,0.031746031746031744,0.07292703243602534,0.3333333333333333,0.016666666666666666,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
10,0.0,2022-10-09 14:14:36.929518,2022-10-09 14:14:42.657240,0 days 00:00:05.727722,smotetomek,yes,FeatureImportance_ET,11,2,5,2.0,capped,1,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=11,
                                                                        n_jobs=2,
                                                                        p=1,
                                                                        weights='distance'),
                                             number=2,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,FeatureImportance_ET,no,2.0,capped,Combine,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,0.04334828101644245,0.5,0.0,0.0,0.0,0.0,COMPLETE
11,0.0,2022-10-09 14:14:42.879559,2022-10-09 14:15:05.548452,0 days 00:00:22.668893,no,no,BorutaShap,45,2,3,,capped,4,Robust,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=45,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=4,
                                                                        weights='distance'),
                                             scaling_indicator='yes'))])",no,no,,no,BorutaShap,no,,capped,Robust,1.0,1.0,1.0,1.0,1.0,1.0,0.04334828101644245,0.4992211838006231,0.0,-0.004587928341816949,0.0,0.0,COMPLETE
