number,value,datetime_start,datetime_complete,duration,params_balancing,params_drop_correlated,params_feature_selection,params_leaf_size,params_n_jobs,params_n_neighbors,params_number_features,params_outlier,params_p,params_scaling,params_weights,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.06060606060606061,2022-10-09 14:27:06.136861,2022-10-09 14:27:18.090189,0 days 00:00:11.953328,no,no,ANOVA,45,2,3,22.0,capped,3,Robust,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=45,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=22,
                                             scaling_indicator='yes'))])",no,no,,no,ANOVA,no,22.0,capped,Robust,1.0,1.0,1.0,1.0,1.0,1.0,0.07661488362161008,0.5135477454550773,0.06060606060606061,0.09000773269877489,0.3333333333333333,0.03333333333333333,COMPLETE
1,0.11834733893557421,2022-10-09 14:27:18.337675,2022-10-09 14:27:24.289630,0 days 00:00:05.951955,smotetomek,yes,FeatureImportance_ET,15,2,9,21.0,capped,1,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='FeatureImportance_ET',
                                             model=KNeighborsClassifier(leaf_size=15,
                                                                        n_jobs=2,
                                                                        n_neighbors=9,
                                                                        p=1,
                                                                        weights='distance'),
                                             number=21,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,FeatureImportance_ET,no,21.0,capped,Combine,0.9696969696969697,0.9992193598750975,0.9841269841269842,0.9837423449879271,0.9696969696969697,1.0,0.0634541333593293,0.5817669255407837,0.11834733893557421,0.08759696359015874,0.07789855072463768,0.26666666666666666,COMPLETE
2,0.0,2022-10-09 14:27:24.512908,2022-10-09 14:27:37.061426,0 days 00:00:12.548518,no,,FeatureWiz,15,2,5,,capped,3,Combine,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor10', 'Sensor11',
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=15,
                                                                        n_jobs=2,
                                                                        p=3),
                                             scaling_indicator='yes'))])",no,no,,no,FeatureWiz,no,,capped,Combine,0.06828474500322695,0.5162763466042155,0.06204906204906205,0.12214020862928036,0.5,0.03333333333333333,0.04477631859918855,0.4992175273865415,0.0,-0.00484744015742698,0.0,0.0,COMPLETE
3,0.0,2022-10-09 14:27:37.299148,2022-10-09 14:27:42.080116,0 days 00:00:04.780968,no,yes,ANOVA,30,2,3,29.0,capped,3,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=29,
                                             scaling_indicator='yes'))])",no,no,,yes,ANOVA,no,29.0,capped,Combine,1.0,1.0,1.0,1.0,1.0,1.0,0.04477631859918855,0.4984350547730829,0.0,-0.006870807871857401,0.0,0.0,COMPLETE
4,0.0,2022-10-09 14:27:42.307598,2022-10-09 14:27:44.962034,0 days 00:00:02.654436,no,no,ANOVA,25,2,11,16.0,capped,1,Standard,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=25,
                                                                        n_jobs=2,
                                                                        n_neighbors=11,
                                                                        p=1),
                                             number=16,
                                             scaling_indicator='yes'))])",no,no,,no,ANOVA,no,16.0,capped,Standard,0.04477616931344322,0.5,0.0,0.0,0.0,0.0,0.04477631859918855,0.5,0.0,0.0,0.0,0.0,COMPLETE
5,0.048780487804878044,2022-10-09 14:27:45.149522,2022-10-09 14:27:47.451745,0 days 00:00:02.302223,smotetomek,no,ANOVA,18,2,3,20.0,capped,4,Standard,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=18,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=4,
                                                                        weights='distance'),
                                             number=20,
                                             scaling_indicator='yes'))])",smotetomek,no,,no,ANOVA,no,20.0,capped,Standard,0.6498600619308929,0.8246096799375487,0.65,0.6492193598750976,0.65,0.65,0.04996943302129184,0.5249608763693271,0.048780487804878044,0.023847659035911534,0.03225806451612903,0.09999999999999999,COMPLETE
6,0.1240981240981241,2022-10-09 14:27:47.659032,2022-10-09 14:27:53.516047,0 days 00:00:05.857015,smotetomek,yes,ANOVA,32,2,3,14.0,capped,3,Combine,distance,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='ANOVA',
                                             model=KNeighborsClassifier(leaf_size=32,
                                                                        n_jobs=2,
                                                                        n_neighbors=3,
                                                                        p=3,
                                                                        weights='distance'),
                                             number=14,
                                             scaling_indicator='yes'))])",smotetomek,no,,yes,ANOVA,no,14.0,capped,Combine,1.0,1.0,1.0,1.0,1.0,1.0,0.06362854151036688,0.5671690579614761,0.1240981240981241,0.09161597111742022,0.0998217468805704,0.20000000000000004,COMPLETE
7,0.11956077768568625,2022-10-09 14:27:53.702221,2022-10-09 14:28:31.845666,0 days 00:00:38.143445,smoteenc,no,BorutaShap,13,2,7,,retained,3,Standard,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=13,
                                                                        n_jobs=2,
                                                                        n_neighbors=7,
                                                                        p=3),
                                             scaling_indicator='yes'))])",smoteenc,no,,no,BorutaShap,no,,retained,Standard,0.1154533971898874,0.8183490744100302,0.20680019274807215,0.27107019697611223,0.1154533971898874,1.0,0.059118614070614584,0.6104434498998144,0.11956077768568625,0.09482537427779114,0.06554621452961262,0.7333333333333334,COMPLETE
8,0.10054282968454625,2022-10-09 14:28:32.056135,2022-10-09 14:28:42.961771,0 days 00:00:10.905636,smotetomek,,FeatureWiz,20,2,11,,retained,2,Robust,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=KNeighborsClassifier(leaf_size=20,
                                                                        n_jobs=2,
                                                                        n_neighbors=11),
                                             scaling_indicator='yes'))])",smotetomek,no,,no,FeatureWiz,no,,retained,Robust,0.07010505728543609,0.6866058830212606,0.13155912606853126,0.15994805947761667,0.07051506289188514,0.9833333333333334,0.05223468230566199,0.5721410498296112,0.10054282968454625,0.06854975647818884,0.053555829882200735,0.8333333333333334,COMPLETE
9,0.0,2022-10-09 14:28:43.148068,2022-10-09 14:29:00.898272,0 days 00:00:17.750204,no,yes,BorutaShap,41,2,7,,capped,3,Combine,uniform,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=KNeighborsClassifier(leaf_size=41,
                                                                        n_jobs=2,
                                                                        n_neighbors=7,
                                                                        p=3),
                                             scaling_indicator='yes'))])",no,no,,yes,BorutaShap,no,,capped,Combine,0.04477616931344322,0.5,0.0,0.0,0.0,0.0,0.04477631859918855,0.5,0.0,0.0,0.0,0.0,COMPLETE
