number,value,datetime_start,datetime_complete,duration,params_balancing,params_boosting_type,params_device_type,params_drop_correlated,params_drop_rate,params_feature_selection,params_gpu_use_dp,params_is_unbalance,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_split_gain,params_missing,params_n_estimators,params_num_leaves,params_number_features,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.04166666666666668,2022-10-09 18:24:15.900365,2022-10-09 18:24:19.514863,0 days 00:00:03.614498,,gbdt,gpu,,,,False,true,0.08342360697528756,63,7,96,2.5573467197226183,yes,100,1890,29.0,0.6124638571417054,0.15821430175348977,0.7531923985828232,3,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.08342360697528756,
                                                                  max_bin=63,
                                                                  max_depth=7,
                                                                  min_child_samples=96,
                                                                  min_split_gain=2.5573467197226183,
                                                                  num_leaves=1890,
                                                                  random_state=120,
                                                                  reg_alpha=0.6124638571417054,
                                                                  reg_lambda=0.15821430175348977,
                                                                  subsample=0.7531923985828232,
                                                                  subsample_freq=3),
                                             number=29))])",no,no,,no,FeatureImportance_self,yes,29.0,retained,no,0.7660455486542443,0.9925765888592025,0.8656330749354004,0.867867954698804,0.7660455486542443,1.0,0.04786073418360414,0.5044549749169994,0.04166666666666668,-0.0035178861370654354,0.030303030303030304,0.06666666666666667,COMPLETE
1,0.0877269161810847,2022-10-09 18:24:19.739985,2022-10-09 18:24:39.689986,0 days 00:00:19.950001,smoteenn,dart,gpu,no,0.013360426928449692,FeatureImportance_ET,False,false,0.06354359021446243,63,3,24,0.3273635407034569,no,100,583,6.0,12.843198269917593,0.1584490554179939,0.5876019879140328,7,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                                  device_type='gpu',
                                                                  drop_rate=0.013360426928449692,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.06354359021446243,
                                                                  max_bin=63,
                                                                  max_depth=3,
                                                                  min_child_samples=24,
                                                                  min_split_gain=0.3273635407034569,
                                                                  num_leaves=583,
                                                                  random_state=120,
                                                                  reg_alpha=12.843198269917593,
                                                                  reg_lambda=0.1584490554179939,
                                                                  subsample=0.5876019879140328,
                                                                  subsample_freq=7),
                                             number=6))])",smoteenn,no,,no,FeatureImportance_ET,no,6.0,retained,no,0.070647122127329,0.6425053966787978,0.14507534576040723,0.12660378459015276,0.08190253284229841,0.6833333333333332,0.04648144977799377,0.5170878855688649,0.0877269161810847,0.01560553150046704,0.04971720488961868,0.4000000000000001,COMPLETE
2,0.09524976371337557,2022-10-09 18:24:39.917817,2022-10-09 18:24:52.888098,0 days 00:00:12.970281,smotetomek,gbdt,gpu,no,,ANOVA,False,false,0.0472783120902774,63,10,11,5.591147681992537,no,100,3224,1.0,11.78701864440059,0.8752936043168298,0.9026643068362906,4,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.0472783120902774,
                                                                  max_bin=63,
                                                                  max_depth=10,
                                                                  min_child_samples=11,
                                                                  min_split_gain=5.591147681992537,
                                                                  num_leaves=3224,
                                                                  random_state=120,
                                                                  reg_alpha=11.78701864440059,
                                                                  reg_lambda=0.8752936043168298,
                                                                  subsample=0.9026643068362906,
                                                                  subsample_freq=4),
                                             number=1))])",smotetomek,no,,no,ANOVA,no,1.0,retained,no,0.0615300785993775,0.624570006560309,0.12478232691319328,0.10463933770475886,0.06864039524114252,0.7000000000000001,0.049296735695875595,0.5401737527971567,0.09524976371337557,0.03353022029019726,0.05237829110779931,0.5333333333333333,COMPLETE
3,0.08571463507085825,2022-10-09 18:24:53.115444,2022-10-09 18:24:56.750383,0 days 00:00:03.634939,,dart,gpu,,0.2204236331862228,,False,false,0.01339882975630192,63,5,76,0.37937408088173225,yes,100,2415,21.0,0.12367910598811556,5.518432395087113,0.8063615736488038,3,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                  device_type='gpu',
                                                                  drop_rate=0.2204236331862228,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.01339882975630192,
                                                                  max_bin=63,
                                                                  max_depth=5,
                                                                  min_child_samples=76,
                                                                  min_split_gain=0.37937408088173225,
                                                                  num_leaves=2415,
                                                                  random_state=120,
                                                                  reg_alpha=0.12367910598811556,
                                                                  reg_lambda=5.518432395087113,
                                                                  subsample=0.8063615736488038,
                                                                  subsample_freq=3),
                                             number=21))])",no,no,,no,FeatureImportance_self,yes,21.0,retained,no,0.04477616931344322,0.5,0.08571437324045057,0.0,0.04477616931344322,1.0,0.04477631859918855,0.5,0.08571463507085825,0.0,0.04477631859918855,1.0,COMPLETE
4,0.016260162601626018,2022-10-09 18:24:56.981717,2022-10-09 18:25:16.204597,0 days 00:00:19.222880,no,gbdt,gpu,no,,ANOVA,False,true,0.1522111053212275,63,12,23,0.19434799164154562,no,100,3904,6.0,2.6394938042194647,73.78029766006897,0.6144535945360098,9,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.1522111053212275,
                                                                  max_bin=63,
                                                                  max_depth=12,
                                                                  min_child_samples=23,
                                                                  min_split_gain=0.19434799164154562,
                                                                  num_leaves=3904,
                                                                  random_state=120,
                                                                  reg_alpha=2.6394938042194647,
                                                                  reg_lambda=73.78029766006897,
                                                                  subsample=0.6144535945360098,
                                                                  subsample_freq=9),
                                             number=6))])",no,no,,no,ANOVA,no,6.0,retained,no,0.09544783165314898,0.6185837245696401,0.11805555555555557,0.13054709789435448,0.07456140350877193,0.2833333333333333,0.04436349217829761,0.4933021806853583,0.016260162601626018,-0.008011444131188573,0.01075268817204301,0.03333333333333333,COMPLETE
5,0.10000000000000002,2022-10-09 18:25:16.430779,2022-10-09 18:26:34.448809,0 days 00:01:18.018030,smoteenc,gbdt,gpu,yes,,BorutaShap,False,true,0.05731945674839826,63,11,39,0.20023006277702304,no,100,3056,,1.3513103383204637,0.35876230963971323,0.7751063356012957,4,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.05731945674839826,
                                                                  max_bin=63,
                                                                  max_depth=11,
                                                                  min_child_samples=39,
                                                                  min_split_gain=0.20023006277702304,
                                                                  num_leaves=3056,
                                                                  random_state=120,
                                                                  reg_alpha=1.3513103383204637,
                                                                  reg_lambda=0.35876230963971323,
                                                                  subsample=0.7751063356012957,
                                                                  subsample_freq=4)))])",smoteenc,no,,yes,BorutaShap,no,,retained,no,1.0,1.0,1.0,1.0,1.0,1.0,0.06512678838351484,0.5286421540666638,0.10000000000000002,0.1027593714148227,0.2333333333333333,0.06666666666666667,COMPLETE
6,0.0971964543393115,2022-10-09 18:26:34.676888,2022-10-09 18:27:57.976943,0 days 00:01:23.300055,smoteenc,dart,gpu,yes,0.192258789136928,BorutaShap,False,true,0.07115551312022678,63,5,41,8.58768176660649,no,100,2104,,32.03446940886171,37.426369108039495,0.5448322441663604,9,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                             model=LGBMClassifier(boosting_type='dart',
                                                                  device_type='gpu',
                                                                  drop_rate=0.192258789136928,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.07115551312022678,
                                                                  max_bin=63,
                                                                  max_depth=5,
                                                                  min_child_samples=41,
                                                                  min_split_gain=8.58768176660649,
                                                                  num_leaves=2104,
                                                                  random_state=120,
                                                                  reg_alpha=32.03446940886171,
                                                                  reg_lambda=37.426369108039495,
                                                                  subsample=0.5448322441663604,
                                                                  subsample_freq=9)))])",smoteenc,no,,yes,BorutaShap,no,,retained,no,0.0624940998337157,0.6314786716656954,0.12496712709799347,0.10949995777605874,0.06837636883850225,0.7333333333333334,0.04955276526804866,0.5399390110131193,0.0971964543393115,0.034598379542324635,0.05406748029698849,0.5,COMPLETE
7,0.11592505056957308,2022-10-09 18:27:58.213458,2022-10-09 18:28:20.547116,0 days 00:00:22.333658,smoteenn,gbdt,gpu,yes,,MutualInformation,False,false,0.22168158748721747,63,4,82,5.500372306459446,no,100,2074,3.0,2.908400369583997,0.2763453112690112,0.689509075315163,2,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.22168158748721747,
                                                                  max_bin=63,
                                                                  max_depth=4,
                                                                  min_child_samples=82,
                                                                  min_split_gain=5.500372306459446,
                                                                  num_leaves=2074,
                                                                  random_state=120,
                                                                  reg_alpha=2.908400369583997,
                                                                  reg_lambda=0.2763453112690112,
                                                                  subsample=0.689509075315163,
                                                                  subsample_freq=2),
                                             number=3))])",smoteenn,no,,yes,MutualInformation,no,3.0,retained,no,0.07492902144317881,0.6828244512613019,0.148257850012236,0.15402337492278426,0.08186575197206841,0.8000000000000002,0.061211619670755536,0.5989754727743407,0.11592505056957308,0.08254734130546722,0.06355101801326057,0.6666666666666666,COMPLETE
8,0.05889724310776943,2022-10-09 18:28:20.786042,2022-10-09 18:28:24.460241,0 days 00:00:03.674199,,dart,gpu,,0.001008319332289844,,False,true,0.11655160217535138,63,10,36,2.0799873539547717,yes,100,1521,13.0,95.42972537753117,0.21692526577551854,0.5443938335535246,3,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                                                  device_type='gpu',
                                                                  drop_rate=0.001008319332289844,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='true',
                                                                  learning_rate=0.11655160217535138,
                                                                  max_bin=63,
                                                                  max_depth=10,
                                                                  min_child_samples=36,
                                                                  min_split_gain=2.0799873539547717,
                                                                  num_leaves=1521,
                                                                  random_state=120,
                                                                  reg_alpha=95.42972537753117,
                                                                  reg_lambda=0.21692526577551854,
                                                                  subsample=0.5443938335535246,
                                                                  subsample_freq=3),
                                             number=13))])",no,no,,no,FeatureImportance_self,yes,13.0,retained,no,0.24147904280695123,0.7276105631970328,0.454051154511984,0.4390086558124086,0.464576802507837,0.4833333333333334,0.04734901060573706,0.5098884062422301,0.05889724310776943,0.01612451559276853,0.05555555555555555,0.06666666666666667,COMPLETE
9,0.0,2022-10-09 18:28:24.689281,2022-10-09 18:28:29.506643,0 days 00:00:04.817362,,gbdt,gpu,,,,False,false,0.06275210741847828,63,8,55,5.1956137024303795,yes,100,835,13.0,1.1110043406507517,22.473772595393235,0.5933831065947678,3,"Pipeline(memory='Caching',
         steps=[('featureselection',
                 FeatureSelectionTransformer(categorical=['Sensor73_na',
                                                          'Sensor74_na',
                                                          'Sensor76_na',
                                                          'Sensor77_na',
                                                          'Sensor78_na',
                                                          'Sensor79_na',
                                                          'Sensor80_na',
                                                          'Sensor81_na',
                                                          'Sensor82_na',
                                                          'Sensor83_na',
                                                          'Sensor86_na',
                                                          'Sensor90_na',
                                                          'Sensor91_na',
                                                          'Sensor110_na',
                                                          'Sensor111_na',
                                                          'Sensor112_na',
                                                          'Sensor113_na',
                                                          'Sensor119_na'...
                                             model=LGBMClassifier(device_type='gpu',
                                                                  drop_rate=None,
                                                                  drop_seed=120,
                                                                  gpu_use_dp=False,
                                                                  is_unbalance='false',
                                                                  learning_rate=0.06275210741847828,
                                                                  max_bin=63,
                                                                  max_depth=8,
                                                                  min_child_samples=55,
                                                                  min_split_gain=5.1956137024303795,
                                                                  num_leaves=835,
                                                                  random_state=120,
                                                                  reg_alpha=1.1110043406507517,
                                                                  reg_lambda=22.473772595393235,
                                                                  subsample=0.5933831065947678,
                                                                  subsample_freq=3),
                                             number=13))])",no,no,,no,FeatureImportance_self,yes,13.0,retained,no,0.04477616931344322,0.5,0.0,0.0,0.0,0.0,0.04477631859918855,0.5,0.0,0.0,0.0,0.0,COMPLETE
