number,value,datetime_start,datetime_complete,duration,params_C,params_balancing,params_class_weight,params_cluster_indicator,params_damping,params_drop_correlated,params_dual,params_feature_selection,params_number_features,params_outlier,params_penalty,params_scaling,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.09004329004329005,2022-10-09 13:50:33.610631,2022-10-09 13:50:48.734681,0 days 00:00:15.124050,0.05150177448402826,smotetomek,None,yes,0.5862281168919287,no,False,FeatureImportance_ET,19.0,retained,l1,Robust,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.5862281168919287,
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LinearSVC(C=0.05150177448402826,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=19,
                                             scaling_indicator='Robust'))])",smotetomek,yes,0.5862281168919287,no,FeatureImportance_ET,no,19.0,retained,Robust,0.08765144202090724,0.6393307935041945,0.21604938271604937,0.18243061916252765,0.15108525354426994,0.3833333333333333,0.05174796210158853,0.5156516461176195,0.09004329004329005,0.04662805609280173,0.11449275362318839,0.10000000000000002,COMPLETE
1,0.09166666666666666,2022-10-09 13:50:48.931032,2022-10-09 13:50:50.057694,0 days 00:00:01.126662,0.06479839508949997,smoteenn,None,no,,no,False,ANOVA,9.0,retained,l2,Standard,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=LinearSVC(C=0.06479839508949997,
                                                             dual=False,
                                                             random_state=120),
                                             number=9,
                                             scaling_indicator='Standard'))])",smoteenn,no,,no,ANOVA,no,9.0,retained,Standard,0.0968744670879476,0.707863025145408,0.20310993754977158,0.20484482855560807,0.12150191229695013,0.6999999999999998,0.048320580668632644,0.5213095812674594,0.09166666666666666,0.021469434252658823,0.05332039028275587,0.3333333333333333,COMPLETE
2,0.1192156862745098,2022-10-09 13:50:50.251899,2022-10-09 13:51:06.313955,0 days 00:00:16.062056,0.2564754888502693,no,None,no,,yes,False,BorutaShap,,capped,l2,Standard,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=LinearSVC(C=0.2564754888502693,
                                                             dual=False,
                                                             random_state=120),
                                             scaling_indicator='Standard'))])",no,no,,yes,BorutaShap,no,,capped,Standard,1.0,1.0,1.0,1.0,1.0,1.0,0.054683607374190334,0.5408926038055958,0.1192156862745098,0.07620825455717524,0.11428571428571428,0.13333333333333333,COMPLETE
3,0.0606060606060606,2022-10-09 13:51:06.554766,2022-10-09 13:51:19.980497,0 days 00:00:13.425731,0.09828857026342197,smoteenc,None,yes,0.7167867122595047,yes,False,Lasso,30.0,capped,l1,Combine,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.7167867122595047,
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=LinearSVC(C=0.09828857026342197,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=30,
                                             scaling_indicator='Combine'))])",smoteenc,yes,0.7167867122595047,yes,Lasso,no,30.0,capped,Combine,0.31334917270708945,0.7477846129600921,0.5297979797979798,0.5143736902482948,0.5664102564102564,0.5166666666666667,0.05291123923410918,0.5216328082722712,0.0606060606060606,0.03592017098493732,0.05555555555555555,0.06666666666666667,COMPLETE
4,0.089243955201402,2022-10-09 13:51:20.201654,2022-10-09 13:51:28.331633,0 days 00:00:08.129979,0.005237844018751225,no,balanced,yes,0.5496387042560241,yes,False,Lasso,13.0,capped,l1,Robust,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.5496387042560241,
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=LinearSVC(C=0.005237844018751225,
                                                             class_weight='balanced',
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=13,
                                             scaling_indicator='Robust'))])",no,yes,0.5496387042560241,yes,Lasso,no,13.0,capped,Robust,0.07503716379979723,0.6968780808713849,0.14668525138459904,0.16310462170212844,0.08027195809405623,0.8500000000000001,0.05083037980057032,0.5312718470741374,0.089243955201402,0.026326139875027868,0.04824508874845206,0.6,COMPLETE
5,0.06666666666666668,2022-10-09 13:51:28.546400,2022-10-09 13:51:42.537221,0 days 00:00:13.990821,0.13232592146485977,smoteenn,None,yes,0.8863318976304557,,False,FeatureWiz,,capped,l1,Robust,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.8863318976304557,
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVC(C=0.13232592146485977,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             scaling_indicator='Robust'))])",smoteenn,yes,0.8863318976304557,no,FeatureWiz,no,,capped,Robust,0.8982683982683982,0.9972668433185635,0.9456938725231407,0.9448553795993305,0.8982683982683982,1.0,0.05513346145633141,0.5239729132844836,0.06666666666666668,0.04092407732972091,0.06666666666666667,0.06666666666666667,COMPLETE
6,0.09258336102802701,2022-10-09 13:51:42.781620,2022-10-09 13:51:47.328579,0 days 00:00:04.546959,0.2191913341839089,smoteenc,None,yes,0.6863036079953112,no,False,ANOVA,5.0,capped,l2,Combine,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.6863036079953112,
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=LinearSVC(C=0.2191913341839089,
                                                             dual=False,
                                                             random_state=120),
                                             number=5,
                                             scaling_indicator='Combine'))])",smoteenc,yes,0.6863036079953112,no,ANOVA,no,5.0,capped,Combine,0.09993064980675163,0.7118693032512011,0.2195332346437122,0.21787587030742941,0.13440285204991084,0.6166666666666667,0.050108301128649085,0.5354211457739165,0.09258336102802701,0.035495837301719936,0.05864363289175319,0.23333333333333336,COMPLETE
7,0.12481859850280902,2022-10-09 13:51:47.514843,2022-10-09 13:52:14.751638,0 days 00:00:27.236795,0.008944146859388753,smoteenn,None,no,,yes,False,BorutaShap,,capped,l2,MinMax,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=LinearSVC(C=0.008944146859388753,
                                                             dual=False,
                                                             random_state=120),
                                             scaling_indicator='MinMax'))])",smoteenn,no,,yes,BorutaShap,no,,capped,MinMax,0.22281013288270998,0.8596277116249409,0.39307589103424134,0.4228302011400535,0.2576462251373733,0.8333333333333334,0.058298083312593695,0.5724540388749945,0.12481859850280902,0.08360914321375124,0.08793012871027055,0.26666666666666666,COMPLETE
8,0.0,2022-10-09 13:52:14.941789,2022-10-09 13:52:28.602884,0 days 00:00:13.661095,0.08777793483787134,smoteenc,balanced,yes,0.6675909017973682,no,False,Lasso,13.0,retained,l2,Standard,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.6675909017973682,
                                             drop_correlated='no',
                                             method='Lasso',
                                             model=LinearSVC(C=0.08777793483787134,
                                                             class_weight='balanced',
                                                             dual=False,
                                                             random_state=120),
                                             number=13,
                                             scaling_indicator='Standard'))])",smoteenc,yes,0.6675909017973682,no,Lasso,no,13.0,retained,Standard,0.2925379764852867,0.8880186400735927,0.46636696636696645,0.4925788605997273,0.3207536856571714,0.8666666666666667,0.04477631859918855,0.468752285258801,0.0,-0.05283055040340987,0.0,0.0,COMPLETE
9,0.08440087145969499,2022-10-09 13:52:28.809055,2022-10-09 13:52:36.076491,0 days 00:00:07.267436,0.043845319776751795,smoteenc,None,yes,0.7871548213739485,no,False,FeatureImportance_ET,12.0,capped,l1,MinMax,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.7871548213739485,
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LinearSVC(C=0.043845319776751795,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=12,
                                             scaling_indicator='MinMax'))])",smoteenc,yes,0.7871548213739485,no,FeatureImportance_ET,no,12.0,capped,MinMax,0.09366101153884164,0.6566564230556381,0.22128623454993565,0.19300356722140544,0.14917413506283017,0.45,0.047486763361202826,0.5169036022991532,0.08440087145969499,0.02178213435146195,0.05726495726495726,0.16666666666666666,COMPLETE
