number,value,datetime_start,datetime_complete,duration,params_C,params_balancing,params_class_weight,params_cluster_indicator,params_damping,params_drop_correlated,params_dual,params_feature_selection,params_number_features,params_outlier,params_penalty,params_scaling,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.10331245815116785,2022-10-09 21:13:38.333139,2022-10-09 21:14:40.011350,0 days 00:01:01.678211,0.05150177448402826,smotetomek,None,yes,0.5862281168919287,no,False,FeatureImportance_ET,19.0,retained,l1,Robust,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.5862281168919287,
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LinearSVC(C=0.05150177448402826,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=19,
                                             scaling_indicator='Robust'))])",smotetomek,yes,0.5862281168919287,no,FeatureImportance_ET,no,19.0,retained,Robust,0.07770855550526884,0.6186422811073401,0.19567056460260343,0.15831272219245363,0.1390904692791485,0.33666666666666667,0.05058298609134446,0.5322950671117436,0.10331245815116785,0.05287483363267483,0.08485155195681511,0.1346153846153846,COMPLETE
1,0.14052464249398258,2022-10-09 21:14:40.254650,2022-10-09 21:14:43.664640,0 days 00:00:03.409990,0.06479839508949997,smoteenn,None,no,,no,False,ANOVA,9.0,retained,l2,Standard,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=LinearSVC(C=0.06479839508949997,
                                                             dual=False,
                                                             random_state=120),
                                             number=9,
                                             scaling_indicator='Standard'))])",smoteenn,no,,no,ANOVA,no,9.0,retained,Standard,0.07245762406096935,0.6178246938044143,0.16458675424192667,0.12901724785356658,0.10300728078505857,0.4444444444444444,0.060937811620704434,0.5799257579269407,0.14052464249398258,0.09327599187787587,0.0910725703324808,0.3247863247863248,COMPLETE
2,0.09280303030303029,2022-10-09 21:14:43.845766,2022-10-09 21:15:03.173001,0 days 00:00:19.327235,0.2564754888502693,no,None,no,,yes,False,BorutaShap,,capped,l2,Standard,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=LinearSVC(C=0.2564754888502693,
                                                             dual=False,
                                                             random_state=120),
                                             scaling_indicator='Standard'))])",no,no,,yes,BorutaShap,no,,capped,Standard,0.6810035842293907,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05470430107526882,0.5393258426966292,0.09280303030303029,0.0669006253238834,0.08333333333333333,0.1111111111111111,COMPLETE
3,0.10600255427841636,2022-10-09 21:15:03.347937,2022-10-09 21:15:20.407728,0 days 00:00:17.059791,0.09828857026342197,smoteenc,None,yes,0.7167867122595047,yes,False,Lasso,30.0,capped,l1,Combine,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.7167867122595047,
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=LinearSVC(C=0.09828857026342197,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=30,
                                             scaling_indicator='Combine'))])",smoteenc,yes,0.7167867122595047,yes,Lasso,no,30.0,capped,Combine,0.21340302668259659,0.6970123180920659,0.43049014477585906,0.40688445502772047,0.449074074074074,0.41777777777777775,0.05926061077863735,0.5426176179428692,0.10600255427841636,0.08438984721175147,0.12549019607843137,0.10897435897435898,COMPLETE
4,0.08786699125262297,2022-10-09 21:15:20.599453,2022-10-09 21:15:28.452416,0 days 00:00:07.852963,0.005237844018751225,no,balanced,yes,0.5496387042560241,yes,False,Lasso,13.0,capped,l1,Robust,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.5496387042560241,
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=LinearSVC(C=0.005237844018751225,
                                                             class_weight='balanced',
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=13,
                                             scaling_indicator='Robust'))])",no,yes,0.5496387042560241,yes,Lasso,no,13.0,capped,Robust,0.07355979829601006,0.6906191662391992,0.14444812773409596,0.15709634552214424,0.07915457637994404,0.8250000000000001,0.046711165853456194,0.521473032191542,0.08786699125262297,0.01718425033216954,0.04728999641310283,0.6217948717948718,COMPLETE
5,0.09764309764309764,2022-10-09 21:15:28.640805,2022-10-09 21:15:44.939287,0 days 00:00:16.298482,0.13232592146485977,smoteenn,None,yes,0.8863318976304557,,False,FeatureWiz,,capped,l1,Robust,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.8863318976304557,
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LinearSVC(C=0.13232592146485977,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             scaling_indicator='Robust'))])",smoteenn,yes,0.8863318976304557,no,FeatureWiz,no,,capped,Robust,0.9038461538461539,0.9975007788107266,0.9489551021182542,0.9480848902633254,0.9038461538461539,1.0,0.05686058266703428,0.531849827680697,0.09764309764309764,0.07649997583323596,0.13333333333333333,0.0811965811965812,COMPLETE
6,0.09163787355276716,2022-10-09 21:15:45.136945,2022-10-09 21:15:55.320147,0 days 00:00:10.183202,0.2191913341839089,smoteenc,None,yes,0.6863036079953112,no,False,ANOVA,5.0,capped,l2,Combine,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.6863036079953112,
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=LinearSVC(C=0.2191913341839089,
                                                             dual=False,
                                                             random_state=120),
                                             number=5,
                                             scaling_indicator='Combine'))])",smoteenc,yes,0.6863036079953112,no,ANOVA,no,5.0,capped,Combine,0.06735454720877622,0.6121335841923675,0.16088028390176498,0.12488447993556316,0.10296550846379025,0.39055555555555554,0.05114939965509226,0.5136024121092128,0.09163787355276716,0.023902778685924043,0.06143790849673203,0.1858974358974359,COMPLETE
7,0.11969111969111972,2022-10-09 21:15:55.513507,2022-10-09 21:16:26.589674,0 days 00:00:31.076167,0.008944146859388753,smoteenn,None,no,,yes,False,BorutaShap,,capped,l2,MinMax,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor12', 'Sensor13',
                                                         'Sensor15', 'Sensor16',
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=LinearSVC(C=0.008944146859388753,
                                                             dual=False,
                                                             random_state=120),
                                             scaling_indicator='MinMax'))])",smoteenn,no,,yes,BorutaShap,no,,capped,MinMax,0.19003707152176752,0.8026737684835794,0.36984273820536545,0.3779971915782718,0.25103316688994437,0.7022222222222222,0.061842577971610226,0.5605984133482655,0.11969111969111972,0.07606676522946515,0.08585858585858586,0.21367521367521367,COMPLETE
8,0.11579818031430933,2022-10-09 21:16:26.770758,2022-10-09 21:16:42.535252,0 days 00:00:15.764494,0.08777793483787134,smoteenc,balanced,yes,0.6675909017973682,no,False,Lasso,13.0,retained,l2,Standard,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.6675909017973682,
                                             drop_correlated='no',
                                             method='Lasso',
                                             model=LinearSVC(C=0.08777793483787134,
                                                             class_weight='balanced',
                                                             dual=False,
                                                             random_state=120),
                                             number=13,
                                             scaling_indicator='Standard'))])",smoteenc,yes,0.6675909017973682,no,Lasso,no,13.0,retained,Standard,0.2511741938182132,0.834821675766455,0.44690899807548806,0.45382541150502503,0.32107554333595184,0.7427777777777779,0.0589888009242848,0.5462290846678782,0.11579818031430933,0.07802851397817549,0.10317460317460318,0.13247863247863248,COMPLETE
9,0.10216846463986051,2022-10-09 21:16:42.722220,2022-10-09 21:16:52.112673,0 days 00:00:09.390453,0.043845319776751795,smoteenc,None,yes,0.7871548213739485,no,False,FeatureImportance_ET,12.0,capped,l1,MinMax,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.7871548213739485,
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LinearSVC(C=0.043845319776751795,
                                                             dual=False,
                                                             penalty='l1',
                                                             random_state=120),
                                             number=12,
                                             scaling_indicator='MinMax'))])",smoteenc,yes,0.7871548213739485,no,FeatureImportance_ET,no,12.0,capped,MinMax,0.07095883077969732,0.6175957175950325,0.17548666186012976,0.13942193238977676,0.1159555766469979,0.37833333333333335,0.04923849287020643,0.533701908184463,0.10216846463986051,0.047894667975760995,0.07526001705029839,0.1623931623931624,COMPLETE
