number,value,datetime_start,datetime_complete,duration,params_C,params_balancing,params_class_weight,params_cluster_indicator,params_damping,params_drop_correlated,params_dual,params_feature_selection,params_max_iter,params_n_jobs,params_number_features,params_outlier,params_penalty,params_scaling,params_solver,user_attrs_Pipeline,user_attrs_balancing_indicator,user_attrs_cluster_indicator,user_attrs_damping,user_attrs_drop_correlated,user_attrs_feature_selection,user_attrs_missing_indicator,user_attrs_number_features,user_attrs_outlier_indicator,user_attrs_scaling_indicator,user_attrs_train_average_precision_score,user_attrs_train_balanced_accuracy,user_attrs_train_f1_score,user_attrs_train_matthews_corrcoef,user_attrs_train_precision_score,user_attrs_train_recall_score,user_attrs_val_average_precision_score,user_attrs_val_balanced_accuracy,user_attrs_val_f1_score,user_attrs_val_matthews_corrcoef,user_attrs_val_precision_score,user_attrs_val_recall_score,state
0,0.12112332112332114,2022-10-09 12:39:37.481152,2022-10-09 12:41:16.377459,0 days 00:01:38.896307,0.05150177448402826,smotetomek,None,yes,0.5862281168919287,no,False,FeatureImportance_ET,100000,2,19.0,retained,l1,Robust,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.5862281168919287,
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LogisticRegression(C=0.05150177448402826,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      penalty='l1',
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=19,
                                             scaling_indicator='Robust'))])",smotetomek,yes,0.5862281168919287,no,FeatureImportance_ET,no,19.0,retained,Robust,0.07925965387174001,0.6075633216420564,0.19154325640963288,0.14924084831918508,0.13849255583126552,0.3166666666666667,0.05714392483450779,0.5385488423793018,0.12112332112332114,0.08323658674090813,0.14166666666666666,0.13333333333333333,COMPLETE
1,0.0843133474712422,2022-10-09 12:41:16.628648,2022-10-09 12:41:52.990612,0 days 00:00:36.361964,0.06479839508949997,smoteenn,None,no,,no,False,ANOVA,100000,2,9.0,retained,l2,Standard,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=LogisticRegression(C=0.06479839508949997,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=9,
                                             scaling_indicator='Standard'))])",smoteenn,no,,no,ANOVA,no,9.0,retained,Standard,0.09347936544245818,0.7142300982580364,0.19424839125282875,0.2013547291067619,0.11362277913785451,0.7166666666666667,0.04629797363574731,0.5119710997030991,0.0843133474712422,0.010866536274769337,0.04827287180228357,0.3333333333333333,COMPLETE
2,0.05128205128205127,2022-10-09 12:41:53.240191,2022-10-09 12:42:43.629160,0 days 00:00:50.388969,0.2564754888502693,no,None,no,,yes,False,BorutaShap,100000,2,,capped,l2,Standard,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=LogisticRegression(C=0.2564754888502693,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      random_state=120,
                                                                      solver='saga'),
                                             scaling_indicator='Standard'))])",no,no,,yes,BorutaShap,no,,capped,Standard,1.0,1.0,1.0,1.0,1.0,1.0,0.05439933447220443,0.5111966712006201,0.05128205128205127,0.03968112491592112,0.1111111111111111,0.03333333333333333,COMPLETE
3,0.11794871794871797,2022-10-09 12:42:43.827299,2022-10-09 12:43:43.914309,0 days 00:01:00.087010,0.09828857026342197,smoteenc,None,yes,0.7167867122595047,yes,False,Lasso,100000,2,30.0,capped,l1,Combine,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.7167867122595047,
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=LogisticRegression(C=0.09828857026342197,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      penalty='l1',
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=30,
                                             scaling_indicator='Combine'))])",smoteenc,yes,0.7167867122595047,yes,Lasso,no,30.0,capped,Combine,0.18475617591013563,0.7417989723404177,0.3784266695151439,0.3594487324747179,0.29030506634090064,0.5499999999999999,0.06047725816784113,0.5455910959004285,0.11794871794871797,0.07918158005878187,0.10833333333333334,0.13333333333333333,COMPLETE
4,0.02861230329041488,2022-10-09 12:43:44.183353,2022-10-09 12:43:52.882029,0 days 00:00:08.698676,0.005237844018751225,no,balanced,yes,0.5496387042560241,yes,False,Lasso,100000,2,13.0,capped,l1,Robust,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.5496387042560241,
                                             drop_correlated='yes',
                                             method='Lasso',
                                             model=LogisticRegression(C=0.005237844018751225,
                                                                      class_weight='balanced',
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      penalty='l1',
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=13,
                                             scaling_indicator='Robust'))])",no,yes,0.5496387042560241,yes,Lasso,no,13.0,capped,Robust,0.04477616931344322,0.5,0.028551034975017847,0.0,0.014914243102162566,0.3333333333333333,0.04477631859918855,0.5,0.02861230329041488,0.0,0.014947683109118086,0.3333333333333333,COMPLETE
5,0.08333333333333333,2022-10-09 12:43:53.085411,2022-10-09 12:44:42.310877,0 days 00:00:49.225466,0.13232592146485977,smoteenn,None,yes,0.8863318976304557,,False,FeatureWiz,100000,2,,capped,l1,Robust,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.8863318976304557,
                                             drop_correlated='no',
                                             method='FeatureWiz',
                                             model=LogisticRegression(C=0.13232592146485977,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      penalty='l1',
                                                                      random_state=120,
                                                                      solver='saga'),
                                             scaling_indicator='Robust'))])",smoteenn,yes,0.8863318976304557,no,FeatureWiz,no,,capped,Robust,0.6682027649769585,0.9882803194394051,0.8006535947712418,0.8075956327719811,0.6682027649769585,1.0,0.06402235034522029,0.529435595922367,0.08333333333333333,0.072456158575849,0.1111111111111111,0.06666666666666667,COMPLETE
6,0.1079768944714327,2022-10-09 12:44:42.529612,2022-10-09 12:44:47.348503,0 days 00:00:04.818891,0.2191913341839089,smoteenc,None,yes,0.6863036079953112,no,False,ANOVA,100000,2,5.0,capped,l2,Combine,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.6863036079953112,
                                             drop_correlated='no',
                                             method='ANOVA',
                                             model=LogisticRegression(C=0.2191913341839089,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=5,
                                             scaling_indicator='Combine'))])",smoteenc,yes,0.6863036079953112,no,ANOVA,no,5.0,capped,Combine,0.08847063692230532,0.6901128996199418,0.19801991406258845,0.19040441866192293,0.11935307110455821,0.5833333333333334,0.0522180827867604,0.5481937314436985,0.1079768944714327,0.05245583018394087,0.06856402831992474,0.26666666666666666,COMPLETE
7,0.09210524707242917,2022-10-09 12:44:47.575455,2022-10-09 12:45:15.079722,0 days 00:00:27.504267,0.008944146859388753,smoteenn,None,no,,yes,False,BorutaShap,100000,2,,capped,l2,MinMax,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor17', 'Sensor18',
                                                         'Sensor19', 'Sensor20',
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             drop_correlated='yes',
                                             method='BorutaShap',
                                             model=LogisticRegression(C=0.008944146859388753,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      random_state=120,
                                                                      solver='saga'),
                                             scaling_indicator='MinMax'))])",smoteenn,no,,yes,BorutaShap,no,,capped,MinMax,0.0995220238466558,0.7659035268074751,0.19045540217452253,0.22891104589385344,0.1069160671128655,0.8833333333333333,0.04862073927697883,0.5307526362745528,0.09210524707242917,0.02610088331642757,0.05154937785036238,0.43333333333333335,COMPLETE
8,0.0811965811965812,2022-10-09 12:45:15.287872,2022-10-09 12:46:02.407929,0 days 00:00:47.120057,0.08777793483787134,smoteenc,balanced,yes,0.6675909017973682,no,False,Lasso,100000,2,13.0,retained,l2,Standard,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor21', 'Sensor22',
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.6675909017973682,
                                             drop_correlated='no',
                                             method='Lasso',
                                             model=LogisticRegression(C=0.08777793483787134,
                                                                      class_weight='balanced',
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=13,
                                             scaling_indicator='Standard'))])",smoteenc,yes,0.6675909017973682,no,Lasso,no,13.0,retained,Standard,0.25599901640779543,0.8566396557853496,0.44277777777777777,0.45982709867507715,0.30757575757575756,0.8000000000000002,0.05191250266922912,0.523439808111389,0.0811965811965812,0.03583514853956732,0.06845238095238095,0.10000000000000002,COMPLETE
9,0.091701948844806,2022-10-09 12:46:02.646583,2022-10-09 12:46:09.779200,0 days 00:00:07.132617,0.043845319776751795,smoteenc,None,yes,0.7871548213739485,no,False,FeatureImportance_ET,100000,2,12.0,capped,l1,MinMax,saga,"Pipeline(memory='Caching',
         steps=[('missing',
                 ColumnTransformer(n_jobs=2, remainder='passthrough',
                                   transformers=[('missingtransform',
                                                  MissingTransformer(continuous=['Sensor1',
                                                                                 'Sensor2',
                                                                                 'Sensor3',
                                                                                 'Sensor4',
                                                                                 'Sensor5',
                                                                                 'Sensor7',
                                                                                 'Sensor8',
                                                                                 'Sensor9',
                                                                                 'Sensor10',
                                                                                 'Sensor11',
                                                                                 'Sensor12',
                                                                                 'Sensor13',
                                                                                 'Sensor15',
                                                                                 'Sensor16',
                                                                                 'Sensor17',
                                                                                 'Sensor18',
                                                                                 'Sensor19',
                                                                                 'Sensor20',...
                                                         'Sensor23', 'Sensor24',
                                                         'Sensor25', 'Sensor26',
                                                         'Sensor27', 'Sensor28',
                                                         'Sensor29', 'Sensor30',
                                                         'Sensor31', 'Sensor32', ...],
                                             damping=0.7871548213739485,
                                             drop_correlated='no',
                                             method='FeatureImportance_ET',
                                             model=LogisticRegression(C=0.043845319776751795,
                                                                      max_iter=100000,
                                                                      n_jobs=2,
                                                                      penalty='l1',
                                                                      random_state=120,
                                                                      solver='saga'),
                                             number=12,
                                             scaling_indicator='MinMax'))])",smoteenc,yes,0.7871548213739485,no,FeatureImportance_ET,no,12.0,capped,MinMax,0.08881443657118059,0.6598981869358226,0.20751344229605098,0.18363100741832347,0.13456790123456788,0.4666666666666666,0.04775912807503053,0.5249996343585918,0.091701948844806,0.02947841767552097,0.059690365978398434,0.20000000000000004,COMPLETE
