Feature_selector,Drop_correlated_features,Models,Best_params,Cluster_Indicator,Damping_cluster_value,Number_features,Features,Balancing_handled,Missing_values_handled,Outlier_handling_method,Feature_scaling_handled,Outer_fold,bal_acc_inner_train_cv,bal_acc_inner_val_cv,bal_acc_outer_val_cv,precision_inner_train_cv,precision_inner_val_cv,precision_outer_val_cv,recall_inner_train_cv,recall_inner_val_cv,recall_outer_val_cv,f1_inner_train_cv,f1_inner_val_cv,f1_outer_val_cv,mc_inner_train_cv,mc_inner_val_cv,mc_outer_val_cv,average_precision_inner_train_cv,average_precision_inner_val_cv,average_precision_outer_val_cv
Lasso,yes,LogisticRegression,"{'C': 0.49518346654185885, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l2', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,0.5651997585897056,23,"['Sensor130', 'Sensor153', 'Sensor152', 'Sensor36', 'Sensor369', 'Sensor102_zero', 'Sensor424', 'Sensor59', 'Sensor38', 'Sensor9', 'Sensor337', 'Sensor122', 'Sensor204', 'Sensor170', 'Sensor15', 'Sensor419_zero', 'Sensor45', 'Sensor96_zero', 'Sensor139', 'Sensor218', 'Sensor484_zero', 'Sensor100', 'cluster_distance']",smoteenc,no,capped,MinMax,1,0.7474389043493055,0.5682796327985219,0.534375,0.5263157894736842,0.17727272727272725,0.1,0.5175438596491228,0.17407407407407405,0.125,0.5176011925237932,0.17525676937441645,0.11111111111111112,0.49776216985015953,0.13799691250447296,0.061879834550931316,0.29405695025858253,0.06984750343494739,0.10976542591723024
MutualInformation,yes,LogisticRegression,"{'C': 0.3462823245086572, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l2', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,0.7754086385516841,22,"['Sensor240', 'Sensor144', 'Sensor239', 'Sensor220', 'Sensor8', 'Sensor122', 'Sensor168', 'Sensor117', 'Sensor101', 'Sensor156', 'Sensor167', 'Sensor93', 'Sensor544', 'Sensor132', 'Sensor57', 'Sensor104', 'Sensor56', 'Sensor252', 'Sensor543', 'Sensor245', 'Sensor54', 'cluster_distance']",smoteenn,no,retained,Standard,2,0.8900430287602328,0.5628352322310463,0.46875,0.2581534292821606,0.14148841354723707,0.0,0.8964912280701753,0.17407407407407405,0.0,0.4007350595718791,0.15181115181115182,0.0,0.4440868687162867,0.11276300812935126,-0.0562543950463012,0.23723514191324643,0.06087691519965327,0.08570773326382897
Lasso,yes,LogisticRegression,"{'C': 0.9731254460641712, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l1', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,,30,"['Sensor15', 'Sensor9', 'Sensor130', 'Sensor485_zero', 'Sensor117', 'Sensor544', 'Sensor228', 'Sensor105_zero', 'Sensor41', 'Sensor434', 'Sensor152', 'Sensor59', 'Sensor484_zero', 'Sensor501', 'Sensor110_na', 'Sensor112', 'Sensor212', 'Sensor135', 'Sensor489', 'Sensor126', 'Sensor500_zero', 'Sensor36', 'Sensor512', 'Sensor218', 'Sensor369', 'Sensor96_zero', 'Sensor101', 'Sensor173', 'Sensor168', 'Sensor157']",smoteenc,no,capped,Combine,3,0.8287796908958304,0.5823036871279599,0.5834821428571428,0.5856060606060606,0.13576945929887108,0.09523809523809523,0.6833333333333332,0.23333333333333336,0.2857142857142857,0.6252747252747253,0.1686307519640853,0.14285714285714285,0.6102053414264542,0.12632960443196456,0.10091286119223071,0.4229647697366721,0.07165395238133303,0.09460334590318173
FeatureWiz,no,LogisticRegression,"{'C': 0.13232592146485977, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l1', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",yes,0.8863318976304557,185,"['Sensor110_na', 'Sensor487', 'Sensor221_na', 'Sensor500_zero', 'Sensor57', 'Sensor4', 'Sensor201', 'Sensor209', 'Sensor26', 'Sensor487_zero', 'Sensor101_zero', 'Sensor500', 'Sensor590', 'Sensor512', 'Sensor123', 'Sensor512_zero', 'Sensor573', 'Sensor347', 'Sensor408', 'Sensor127', 'Sensor289', 'Sensor101', 'Sensor153', 'Sensor58', 'Sensor126', 'Sensor548', 'Sensor564', 'Sensor420', 'Sensor104', 'Sensor15', 'Sensor77', 'Sensor133', 'Sensor488_zero', 'Sensor94', 'Sensor253', 'Sensor214', 'Sensor51', 'Sensor29', 'Sensor164', 'Sensor308', 'Sensor488', 'Sensor76', 'Sensor85', 'Sensor16', 'Sensor49', 'Sensor10', 'Sensor27', 'Sensor139', 'Sensor460', 'Sensor567', 'Sensor121', 'Sensor109', 'Sensor89', 'Sensor118', 'Sensor114', 'Sensor19', 'Sensor226', 'Sensor541', 'Sensor490_zero', 'Sensor1', 'Sensor560', 'Sensor367', 'Sensor56', 'Sensor9', 'Sensor103', 'Sensor130', 'Sensor171', 'Sensor189', 'Sensor369', 'Sensor21', 'Sensor82', 'Sensor78', 'Sensor309', 'Sensor457', 'Sensor252', 'Sensor377', 'Sensor32', 'Sensor572', 'Sensor116', 'Sensor418', 'Sensor472', 'Sensor52', 'Sensor434_zero', 'Sensor424', 'Sensor20', 'Sensor579_na', 'Sensor290', 'Sensor383_na', 'Sensor486_zero', 'Sensor359_na', 'Sensor111', 'Sensor156', 'Sensor59', 'Sensor96_zero', 'Sensor378', 'Sensor105', 'Sensor276', 'Sensor96', 'Sensor552', 'Sensor42', 'Sensor449', 'Sensor165', 'Sensor38', 'Sensor559', 'Sensor366', 'Sensor91', 'Sensor341', 'Sensor335', 'Sensor176', 'Sensor54', 'Sensor169', 'Sensor213', 'Sensor157', 'Sensor583', 'Sensor406', 'Sensor474', 'Sensor563', 'Sensor60', 'Sensor441', 'Sensor122', 'Sensor585', 'Sensor432', 'Sensor392', 'Sensor419', 'Sensor39', 'Sensor95', 'Sensor517_na', 'Sensor86_na', 'Sensor37', 'Sensor198', 'Sensor393', 'Sensor215', 'Sensor287', 'Sensor545', 'Sensor520_na', 'Sensor62', 'Sensor360', 'Sensor95_zero', 'Sensor431', 'Sensor543', 'Sensor344', 'Sensor456', 'Sensor30', 'Sensor72', 'Sensor136', 'Sensor587', 'Sensor571', 'Sensor81', 'Sensor162', 'Sensor218', 'Sensor64', 'Sensor219', 'Sensor281', 'Sensor386', 'Sensor350', 'Sensor69', 'Sensor79', 'Sensor581', 'Sensor358', 'Sensor110', 'Sensor493', 'Sensor363', 'Sensor181', 'Sensor556', 'Sensor278', 'Sensor102', 'Sensor589', 'Sensor476', 'Sensor206', 'Sensor168', 'Sensor307', 'Sensor387', 'Sensor167', 'Sensor354', 'Sensor182', 'Sensor383', 'Sensor554', 'Sensor93', 'Sensor413', 'Sensor578', 'Sensor282', 'Sensor183', 'Sensor92', 'Sensor570', 'cluster_distance']",smoteenn,no,capped,Robust,4,0.9890609595643075,0.5627579600134557,0.5,0.6865177832919769,0.3333333333333333,0.0,1.0,0.13333333333333333,0.0,0.8127308894572322,0.1858974358974359,0.0,0.8188204776454276,0.19423740384657562,0.0,0.6865177832919769,0.10547725816784113,0.041167286793805144
FeatureImportance_ET,yes,LogisticRegression,"{'C': 0.00010245920652697193, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100000, 'multi_class': 'auto', 'n_jobs': 2, 'penalty': 'l2', 'random_state': 120, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",no,,24,"['Sensor1', 'Sensor26', 'Sensor57', 'Sensor58', 'Sensor59', 'Sensor72', 'Sensor76', 'Sensor89', 'Sensor100', 'Sensor101', 'Sensor104', 'Sensor118', 'Sensor122', 'Sensor130', 'Sensor133', 'Sensor139', 'Sensor157', 'Sensor165', 'Sensor201', 'Sensor211', 'Sensor222', 'Sensor434', 'Sensor588', 'Sensor489_zero']",no,no,retained,Standard,5,0.8098908569815982,0.6752928787679346,0.47455357142857146,0.20322821340004826,0.11327561327561327,0.03125,0.7666666666666666,0.5333333333333333,0.14285714285714285,0.3196837123482215,0.1739576213260424,0.05128205128205128,0.3427941914396982,0.17235253201498005,-0.025913374465524094,0.16724107492274243,0.08678642608014804,0.18347794495643488
BorutaShap,no,LinearSVC,"{'C': 0.004115406126287145, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",no,,144,"['Sensor345', 'Sensor407', 'Sensor209', 'Sensor152', 'Sensor332', 'Sensor133', 'Sensor481', 'Sensor220', 'Sensor181', 'Sensor295', 'Sensor15', 'Sensor456', 'Sensor167', 'Sensor474', 'Sensor434', 'Sensor182', 'Sensor269', 'Sensor131', 'Sensor228', 'Sensor419', 'Sensor419_zero', 'Sensor472', 'Sensor110', 'Sensor57', 'Sensor16', 'Sensor476', 'Sensor393', 'Sensor33', 'Sensor214', 'Sensor484', 'Sensor527', 'Sensor279', 'Sensor457', 'Sensor91', 'Sensor512', 'Sensor519', 'Sensor276', 'Sensor337', 'Sensor500_zero', 'Sensor425', 'Sensor383', 'Sensor164', 'Sensor54', 'Sensor453', 'Sensor518', 'Sensor55', 'Sensor117', 'Sensor274', 'Sensor305', 'Sensor441', 'Sensor246_na', 'Sensor96', 'Sensor128', 'Sensor573', 'Sensor321', 'Sensor247', 'Sensor56', 'Sensor320', 'Sensor130', 'Sensor20', 'Sensor35', 'Sensor569', 'Sensor97', 'Sensor352', 'Sensor517', 'Sensor292', 'Sensor118', 'Sensor546', 'Sensor96_zero', 'Sensor344', 'Sensor548', 'Sensor104', 'Sensor567', 'Sensor189', 'Sensor511', 'Sensor255', 'Sensor160', 'Sensor431', 'Sensor141', 'Sensor112', 'Sensor151', 'Sensor245', 'Sensor384', 'Sensor288', 'Sensor41', 'Sensor123', 'Sensor480', 'Sensor384_na', 'Sensor127', 'Sensor153', 'Sensor185', 'Sensor9', 'Sensor111', 'Sensor124', 'Sensor61', 'Sensor501', 'Sensor426', 'Sensor34', 'Sensor471', 'Sensor168', 'Sensor51', 'Sensor424', 'Sensor199', 'Sensor132', 'Sensor541', 'Sensor184', 'Sensor202', 'Sensor492', 'Sensor487', 'Sensor287', 'Sensor198', 'Sensor37', 'Sensor102_zero', 'Sensor358', 'Sensor39', 'Sensor122', 'Sensor324', 'Sensor336', 'Sensor490', 'Sensor246', 'Sensor299', 'Sensor565', 'Sensor48', 'Sensor501_zero', 'Sensor170', 'Sensor45', 'Sensor454', 'Sensor325', 'Sensor357', 'Sensor286', 'Sensor470', 'Sensor74', 'Sensor435', 'Sensor340', 'Sensor47', 'Sensor200', 'Sensor105', 'Sensor101', 'Sensor335', 'Sensor490_zero', 'Sensor383_na', 'Sensor318', 'Sensor385', 'Sensor204']",smoteenc,no,capped,Combine,1,0.803631915160795,0.5576292298616901,0.590625,0.33035714285714285,0.09506172839506173,0.15384615384615385,0.6736842105263158,0.2074074074074074,0.25,0.4371135561242598,0.12910052910052908,0.1904761904761905,0.43433632297709224,0.08070650005748943,0.14445928960214818,0.2366627049686998,0.05394071367497708,0.18648000322528624
FeatureImportance_ET,no,LinearSVC,"{'C': 0.29096006638732785, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",yes,0.584450236576299,26,"['Sensor111', 'Sensor184', 'Sensor246', 'Sensor247', 'Sensor407', 'Sensor419', 'Sensor501', 'Sensor517', 'Sensor518', 'Sensor519', 'Sensor246_na', 'Sensor247_na', 'Sensor347_na', 'Sensor579_na', 'Sensor580_na', 'Sensor581_na', 'Sensor582_na', 'Sensor96_zero', 'Sensor102_zero', 'Sensor419_zero', 'Sensor469_zero', 'Sensor484_zero', 'Sensor490_zero', 'Sensor500_zero', 'Sensor501_zero', 'cluster_distance']",smotetomek,no,retained,MinMax,1,0.6959094659993322,0.574788781146554,0.515625,0.2848967848967849,0.1631313131313131,0.0625,0.44649122807017544,0.20740740740740737,0.125,0.34531772575250835,0.18095238095238095,0.08333333333333333,0.31757155657309544,0.1372323027194915,0.022671132815937866,0.1587386106916435,0.07566474410271122,0.12676253303306972
FeatureImportance_ET,no,LinearSVC,"{'C': 0.11351419362696476, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",yes,0.5149780000135604,19,"['Sensor111_na', 'Sensor112_na', 'Sensor245_na', 'Sensor247_na', 'Sensor383_na', 'Sensor384_na', 'Sensor385_na', 'Sensor517_na', 'Sensor518_na', 'Sensor519_na', 'Sensor101_zero', 'Sensor102_zero', 'Sensor419_zero', 'Sensor434_zero', 'Sensor484_zero', 'Sensor490_zero', 'Sensor500_zero', 'Sensor501_zero', 'cluster_distance']",smotetomek,no,capped,MinMax,2,0.6532029537015015,0.591936388145418,0.68125,0.195839874411303,0.16984126984126982,0.15384615384615385,0.37982456140350873,0.23703703703703705,0.5,0.25442303358124857,0.18676470588235294,0.23529411764705882,0.22416153714221063,0.15354067240836108,0.2134431145846522,0.10126790236074096,0.07373146368662063,0.12379951509832465
BorutaShap,yes,LinearSVC,"{'C': 0.014848555838569153, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",no,,257,"['Sensor1', 'Sensor2', 'Sensor3', 'Sensor4', 'Sensor5', 'Sensor7', 'Sensor8', 'Sensor9', 'Sensor10', 'Sensor11', 'Sensor12', 'Sensor13', 'Sensor15', 'Sensor16', 'Sensor17', 'Sensor18', 'Sensor20', 'Sensor21', 'Sensor22', 'Sensor23', 'Sensor24', 'Sensor25', 'Sensor26', 'Sensor27', 'Sensor28', 'Sensor29', 'Sensor30', 'Sensor32', 'Sensor33', 'Sensor34', 'Sensor35', 'Sensor36', 'Sensor38', 'Sensor39', 'Sensor40', 'Sensor41', 'Sensor42', 'Sensor44', 'Sensor45', 'Sensor46', 'Sensor47', 'Sensor48', 'Sensor49', 'Sensor52', 'Sensor54', 'Sensor55', 'Sensor56', 'Sensor57', 'Sensor58', 'Sensor59', 'Sensor60', 'Sensor62', 'Sensor64', 'Sensor68', 'Sensor69', 'Sensor72', 'Sensor73', 'Sensor76', 'Sensor77', 'Sensor78', 'Sensor79', 'Sensor80', 'Sensor81', 'Sensor82', 'Sensor83', 'Sensor84', 'Sensor85', 'Sensor86', 'Sensor87', 'Sensor88', 'Sensor89', 'Sensor90', 'Sensor91', 'Sensor92', 'Sensor93', 'Sensor94', 'Sensor95', 'Sensor96', 'Sensor99', 'Sensor100', 'Sensor101', 'Sensor103', 'Sensor104', 'Sensor108', 'Sensor109', 'Sensor110', 'Sensor111', 'Sensor113', 'Sensor114', 'Sensor116', 'Sensor117', 'Sensor118', 'Sensor119', 'Sensor120', 'Sensor121', 'Sensor122', 'Sensor123', 'Sensor126', 'Sensor127', 'Sensor129', 'Sensor130', 'Sensor132', 'Sensor133', 'Sensor134', 'Sensor135', 'Sensor136', 'Sensor137', 'Sensor138', 'Sensor139', 'Sensor140', 'Sensor141', 'Sensor143', 'Sensor144', 'Sensor145', 'Sensor146', 'Sensor147', 'Sensor149', 'Sensor151', 'Sensor152', 'Sensor153', 'Sensor156', 'Sensor157', 'Sensor158', 'Sensor160', 'Sensor161', 'Sensor162', 'Sensor163', 'Sensor164', 'Sensor165', 'Sensor166', 'Sensor167', 'Sensor168', 'Sensor169', 'Sensor170', 'Sensor171', 'Sensor172', 'Sensor173', 'Sensor174', 'Sensor176', 'Sensor177', 'Sensor178', 'Sensor181', 'Sensor182', 'Sensor183', 'Sensor184', 'Sensor185', 'Sensor186', 'Sensor188', 'Sensor189', 'Sensor196', 'Sensor197', 'Sensor198', 'Sensor199', 'Sensor200', 'Sensor201', 'Sensor204', 'Sensor205', 'Sensor206', 'Sensor208', 'Sensor209', 'Sensor211', 'Sensor212', 'Sensor213', 'Sensor214', 'Sensor215', 'Sensor216', 'Sensor217', 'Sensor218', 'Sensor219', 'Sensor220', 'Sensor222', 'Sensor224', 'Sensor225', 'Sensor226', 'Sensor228', 'Sensor229', 'Sensor239', 'Sensor240', 'Sensor245', 'Sensor246', 'Sensor247', 'Sensor249', 'Sensor251', 'Sensor252', 'Sensor253', 'Sensor254', 'Sensor256', 'Sensor268', 'Sensor269', 'Sensor270', 'Sensor337', 'Sensor368', 'Sensor369', 'Sensor419', 'Sensor420', 'Sensor424', 'Sensor433', 'Sensor434', 'Sensor461', 'Sensor469', 'Sensor473', 'Sensor483', 'Sensor484', 'Sensor485', 'Sensor486', 'Sensor487', 'Sensor488', 'Sensor489', 'Sensor490', 'Sensor500', 'Sensor501', 'Sensor512', 'Sensor543', 'Sensor544', 'Sensor547', 'Sensor548', 'Sensor549', 'Sensor550', 'Sensor551', 'Sensor552', 'Sensor559', 'Sensor560', 'Sensor563', 'Sensor564', 'Sensor565', 'Sensor566', 'Sensor571', 'Sensor572', 'Sensor573', 'Sensor574', 'Sensor579', 'Sensor582', 'Sensor583', 'Sensor584', 'Sensor587', 'Sensor588', 'Sensor590', 'Sensor76_na', 'Sensor90_na', 'Sensor547_na', 'Sensor92_zero', 'Sensor93_zero', 'Sensor94_zero', 'Sensor95_zero', 'Sensor96_zero', 'Sensor101_zero', 'Sensor102_zero', 'Sensor105_zero', 'Sensor130_zero', 'Sensor433_zero', 'Sensor434_zero', 'Sensor469_zero', 'Sensor484_zero', 'Sensor485_zero', 'Sensor486_zero', 'Sensor489_zero', 'Sensor490_zero']",no,no,retained,MinMax,3,0.8405249346717829,0.6142980416246179,0.6611607142857143,0.3020916443735236,0.09325091881055797,0.15,0.8333333333333334,0.43333333333333335,0.42857142857142855,0.4329662502739426,0.15048035278368377,0.2222222222222222,0.44264052333392684,0.11741844060220413,0.19894110477255422,0.2983630835979829,0.0648175090942857,0.28378811122348796
ANOVA,no,LinearSVC,"{'C': 0.00011186898674260823, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'loss': 'squared_hinge', 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l2', 'random_state': 120, 'tol': 0.0001, 'verbose': 0}",yes,0.6076041674538307,24,"['Sensor101', 'Sensor112', 'Sensor122', 'Sensor124', 'Sensor125', 'Sensor269', 'Sensor407', 'Sensor541', 'Sensor110_na', 'Sensor111_na', 'Sensor112_na', 'Sensor245_na', 'Sensor246_na', 'Sensor247_na', 'Sensor383_na', 'Sensor384_na', 'Sensor385_na', 'Sensor517_na', 'Sensor518_na', 'Sensor519_na', 'Sensor95_zero', 'Sensor487_zero', 'Sensor500_zero', 'cluster_distance']",smoteenc,no,retained,Standard,4,0.7651569709697164,0.6676473169233469,0.4375,0.18315135150599918,0.2137185534591195,0.0,0.75,0.5333333333333333,0.0,0.2873749238017106,0.21997810618500271,0.0,0.2957556939942593,0.22166950997208804,-0.07715167498104596,0.15558175653739018,0.09910011472648962,0.035321392789718416
