Models,bal_acc_train_cv_avg,bal_acc_train_cv_std,bal_acc_val_cv_avg,bal_acc_val_cv_std,bal_acc_test_cv_avg,bal_acc_test_cv_std,precision_train_cv_avg,precision_train_cv_std,precision_val_cv_avg,precision_val_cv_std,precision_test_cv_avg,precision_test_cv_std,recall_train_cv_avg,recall_train_cv_std,recall_val_cv_avg,recall_val_cv_std,recall_test_cv_avg,recall_test_cv_std,f1_train_cv_avg,f1_train_cv_std,f1_val_cv_avg,f1_val_cv_std,f1_test_cv_avg,f1_test_cv_std,mc_train_cv_avg,mc_train_cv_std,mc_val_cv_avg,mc_val_cv_std,mc_test_cv_avg,mc_test_cv_std,average_precision_train_cv_avg,average_precision_train_cv_std,average_precision_val_cv_avg,average_precision_val_cv_std,average_precision_test_cv_avg,average_precision_test_cv_std
LogisticRegression,0.8530426881102547,0.0818204474270037,0.5902938781877837,0.04309409305307716,0.5122321428571428,0.04248968212089487,0.4519642552107861,0.18859262714894154,0.18022790934555638,0.07925896317749741,0.045297619047619045,0.04424361157876784,0.7728070175438596,0.1674018871245647,0.2496296296296296,0.14539289752324824,0.11071428571428572,0.10618620533798932,0.5352051158351703,0.17319044955049204,0.17111074607462637,0.011158540346645384,0.06105006105006104,0.057875973063553465,0.5427338098156053,0.16279175293424783,0.14873589218546887,0.03013154175636968,0.016124985246267345,0.05752999855780835,0.36160314402464405,0.18283395421380533,0.07892841105278457,0.015670525313280878,0.1029443473668962,0.04629312224836576
LinearSVC,0.7734859950615398,0.09424685291976823,0.6145357085399207,0.03162648111048433,0.5708928571428571,0.09090469681518787,0.25907694097574396,0.05869683747526758,0.16077784383788485,0.03862727905880801,0.11326923076923076,0.07200735498265183,0.6652631578947368,0.21352657452917453,0.3555555555555555,0.1214679305901997,0.23928571428571427,0.19152982396845605,0.36035346459952494,0.08575225914252249,0.18311003987371002,0.02224795507407848,0.1415032679738562,0.08871570980892628,0.35933138490227046,0.1055534995170325,0.15827786422594228,0.03511101208396028,0.09929813012576298,0.11091225678097495,0.20369714044587423,0.0824110330129197,0.07806426255871947,0.011345758463263573,0.1495434167683088,0.0813171524876363
KNeighborsClassifier,0.9889852777869402,0.021057081215375955,0.5785207611191552,0.01613955896701011,0.5485714285714286,0.09115341197841208,0.8466143609267549,0.26817534791346653,0.12139461373191654,0.05737942145226978,0.07009803921568628,0.06677471060336401,1.0,0.0,0.2888888888888889,0.044320815708597305,0.23214285714285712,0.20139817399816692,0.8864303020199424,0.20675688068503686,0.1483093649656146,0.0247787046790623,0.10566604127579737,0.09689790548536882,0.8969398733923126,0.18534906357065586,0.10709433772183963,0.033351132031541636,0.05481219092104097,0.11398075737949696,0.8466143609267549,0.26817534791346653,0.06649224748837937,0.012609871972586742,0.0803485570410614,0.04062958134781574
GaussianNB,0.7088328272771516,0.07550845604624533,0.5752182879206704,0.01879795225776954,0.5494642857142857,0.06802692575407936,0.19239493558805582,0.14412891952657098,0.10984456728930589,0.07393965381877744,0.08647155357681673,0.04422569467032961,0.6405263157894736,0.14872537338400518,0.37777777777777777,0.12729107522779223,0.3214285714285714,0.22672243211576967,0.2584142764924864,0.13204364750294148,0.12851155957798693,0.01979108624598939,0.11193688301531439,0.04085328395680398,0.25329792096859205,0.14367044166314114,0.09195148160287109,0.03385869208912854,0.0636602406119958,0.06609880432848086,0.1382657003115478,0.0844733594957924,0.06135356767034422,0.008563511828797445,0.10209526376637504,0.05187021064465648
DecisionTreeClassifier,0.8409966085459164,0.14949859981828162,0.5708633037407554,0.016660504543068163,0.4924107142857143,0.02457061097061665,0.5774621908870573,0.09000784600346737,0.18978568138843924,0.1106808020648196,0.0316374269005848,0.025891577592453738,0.7124561403508772,0.2975349634552232,0.217037037037037,0.04379776444176142,0.07857142857142857,0.06448382173309924,0.593272149168183,0.19394014787708366,0.15456057671574913,0.027884503626742708,0.045054945054945054,0.036841878273055406,0.5996143445245654,0.1921926672017196,0.125185996868885,0.03690682574788519,-0.013400623471506074,0.03371847374029736,0.4354140112460961,0.20041850783279289,0.07147754158380706,0.011957863992464346,0.0541685546557689,0.01259463683466619
RandomForestClassifier,0.8242364772471469,0.12012240180350518,0.5558474836558289,0.012673052805050574,0.5299107142857142,0.04791324669842018,0.870145604135374,0.13039578726821474,0.26340862840862844,0.11184139363541815,0.10500000000000001,0.15524174696260026,0.653157894736842,0.23707305179360721,0.1288888888888889,0.02472343595300539,0.07857142857142857,0.10202040612204072,0.724943208100037,0.19262502423725142,0.1588421008255441,0.027891820256098918,0.0882051282051282,0.12128611691564703,0.7337137452723183,0.1882782266957134,0.15163727596671336,0.036477061392847385,0.06592484762525179,0.12028732019837729,0.6072291227805894,0.25936738955324545,0.08966334262721906,0.01919295933011959,0.10709245484783377,0.09340958071677907
ExtraTreesClassifier,0.8351048916449516,0.14558730172353476,0.5681481969003359,0.022088608213605566,0.5236607142857144,0.02968263252256085,0.7591423998816091,0.2501614034024357,0.17383442265795207,0.04873304468553661,0.23888888888888887,0.3831319922125926,0.6833333333333333,0.2879171335248429,0.16814814814814816,0.0544633376137831,0.07857142857142857,0.06448382173309924,0.6792338070141136,0.2262669684124588,0.15165336332003,0.030226481388199177,0.08944444444444444,0.08367338028250822,0.686989444153234,0.2327151932020751,0.13381401418135186,0.02517524276677676,0.08692152624171064,0.1360653199347112,0.5603050658566637,0.25934035239831255,0.07522707200025555,0.011851644810762646,0.11776302469752294,0.07861713864171321
AdaBoostClassifier,0.7684055681032798,0.12461550662630304,0.5954088114704148,0.02146744007916844,0.5061607142857143,0.07581056462778572,0.34469540837246415,0.33105377290853355,0.1786869753596617,0.13970220240846065,0.03904909560723514,0.039807019340832604,0.6535087719298246,0.18602531293187072,0.317037037037037,0.0709179475253418,0.17857142857142855,0.18626292586293283,0.4142310707007675,0.2994425204821409,0.16319766971617103,0.030929816365317494,0.06330728095433977,0.06440268621743077,0.40447400084183993,0.3059187284418877,0.13808081209412187,0.053523325799129655,0.002516111980615883,0.07908388104312712,0.3011313106417597,0.35164131300085044,0.07922537784367037,0.027049426491324812,0.07494545304995495,0.046368544084288504
GradientBoostingClassifier,0.8596008675965292,0.15306887118329576,0.5685616642046811,0.025538315379335323,0.5349107142857144,0.09184084989362669,0.7096746158387763,0.15695212881036372,0.3056276439609773,0.20568234880679265,0.06385964912280702,0.10343202626185377,0.7398245614035088,0.3171591155650842,0.18148148148148152,0.05289946984105815,0.12857142857142856,0.19378085666072195,0.6276951968557041,0.2106864662392123,0.16628614290378999,0.0328107753406494,0.08494983277591975,0.13477223459415952,0.6547749751574033,0.16502734685739423,0.1629172724977423,0.06184539097492951,0.04559977934959697,0.14050666323721125,0.4856093528611602,0.1698205196078831,0.0933523648056533,0.03181586233929214,0.10741878665181104,0.06879316611609118
XGBClassifier,0.9018593258332469,0.12562274430008535,0.5686806682949898,0.02035996489294947,0.5341071428571429,0.07487053025737433,0.61182874599115,0.29560702585916454,0.21308566310210447,0.16435188094576095,0.04913165266106442,0.04429371296806711,0.8624561403508771,0.2750877192982456,0.242962962962963,0.11635997313101597,0.21071428571428572,0.23266424964146185,0.607775156331879,0.20430581159235117,0.14271374278589272,0.022511096230713384,0.07375424746169654,0.06638320961342241,0.6479155090367642,0.17659878975281004,0.12495451781900499,0.04199623982130041,0.031191535531630017,0.07845694590894112,0.4802639595856745,0.2334124023699995,0.07034234942916914,0.013455551265206167,0.1272058376844123,0.060295408513091446
